#W	lo_pdf_xsect	error
1.000997e+00	5.375216e-12	2.009914e-11
1.060981e+00	4.402167e-12	2.242790e-11
1.118891e+00	1.588070e-09	1.285142e-10
1.175067e+00	7.667141e-09	4.820722e-10
1.229781e+00	1.854865e-08	1.077244e-09
1.283254e+00	3.558244e-08	1.936979e-09
1.335668e+00	6.138401e-08	3.049539e-09
1.387177e+00	9.814841e-08	4.513186e-09
1.437914e+00	1.483015e-07	6.945807e-09
1.487990e+00	2.144241e-07	9.486241e-09
1.537507e+00	2.998685e-07	1.192198e-08
1.586552e+00	4.064495e-07	1.516071e-08
1.635202e+00	5.359292e-07	1.886272e-08
1.683529e+00	6.925183e-07	2.353712e-08
1.731597e+00	8.791487e-07	2.729126e-08
1.779465e+00	1.096450e-06	3.288032e-08
1.827187e+00	1.344898e-06	4.424581e-08
1.874814e+00	1.634748e-06	4.624686e-08
1.922394e+00	1.966449e-06	6.143778e-08
1.969970e+00	2.327618e-06	5.278938e-08
2.017587e+00	2.731375e-06	4.918046e-08
2.065284e+00	3.190688e-06	6.117756e-08
2.113101e+00	3.692735e-06	6.212341e-08
2.161077e+00	4.238443e-06	6.213618e-08
2.209249e+00	4.840217e-06	7.152233e-08
2.257653e+00	5.485147e-06	7.823118e-08
2.306326e+00	6.185851e-06	8.075794e-08
2.355302e+00	6.941809e-06	9.187516e-08
2.404619e+00	7.739394e-06	8.265952e-08
2.454310e+00	8.603619e-06	9.983339e-08
2.504413e+00	9.508550e-06	1.040443e-07
2.554964e+00	1.046684e-05	1.073812e-07
2.605999e+00	1.147565e-05	1.087460e-07
2.657555e+00	1.253252e-05	1.137738e-07
2.709672e+00	1.362930e-05	8.746907e-08
2.762387e+00	1.483864e-05	2.326299e-07
2.815742e+00	1.603989e-05	2.411502e-07
2.869777e+00	1.723837e-05	1.585177e-07
2.924536e+00	1.855720e-05	2.194087e-07
2.980064e+00	1.986974e-05	1.859822e-07
3.036407e+00	2.129893e-05	3.924855e-07
3.093612e+00	2.259118e-05	2.666282e-07
3.151732e+00	2.412520e-05	3.303963e-07
3.210818e+00	2.552384e-05	2.231674e-07
3.270927e+00	2.703245e-05	2.070257e-07
3.332117e+00	2.852904e-05	2.335914e-07
3.394450e+00	3.013437e-05	3.002045e-07
3.457992e+00	3.160659e-05	3.942908e-07
3.522811e+00	3.331035e-05	4.895629e-07
3.588981e+00	3.488448e-05	3.197090e-07
3.656580e+00	3.644690e-05	3.196411e-07
3.725692e+00	3.812361e-05	3.216099e-07
3.796406e+00	3.979640e-05	4.028367e-07
3.868816e+00	4.145569e-05	3.942456e-07
3.943025e+00	4.313388e-05	3.769967e-07
4.019143e+00	4.484834e-05	4.438192e-07
4.097287e+00	4.654697e-05	3.644392e-07
