#W	lo_pdf_xsect	error
1.000997e+00	4.553648e-12	1.456751e-11
1.060981e+00	3.727289e-12	1.622120e-11
1.118891e+00	1.343911e-09	9.277154e-11
1.175067e+00	6.485169e-09	3.474084e-10
1.229781e+00	1.568198e-08	7.752081e-10
1.283254e+00	3.007046e-08	1.392299e-09
1.335668e+00	5.185515e-08	2.190242e-09
1.387177e+00	8.288389e-08	3.240103e-09
1.437914e+00	1.251995e-07	4.986626e-09
1.487990e+00	1.809763e-07	6.814011e-09
1.537507e+00	2.530427e-07	8.572860e-09
1.586552e+00	3.429334e-07	1.092045e-08
1.635202e+00	4.521457e-07	1.362000e-08
1.683529e+00	5.842520e-07	1.704991e-08
1.731597e+00	7.417577e-07	1.985048e-08
1.779465e+00	9.252406e-07	2.403733e-08
1.827187e+00	1.135169e-06	3.254567e-08
1.874814e+00	1.380285e-06	3.426791e-08
1.922394e+00	1.661090e-06	4.591831e-08
1.969970e+00	1.967270e-06	3.985208e-08
2.017587e+00	2.310091e-06	3.755851e-08
2.065284e+00	2.700760e-06	4.733959e-08
2.113101e+00	3.128719e-06	4.879274e-08
2.161077e+00	3.595091e-06	4.962567e-08
2.209249e+00	4.110812e-06	5.819670e-08
2.257653e+00	4.665419e-06	6.498271e-08
2.306326e+00	5.270216e-06	6.862102e-08
2.355302e+00	5.925465e-06	8.002669e-08
2.404619e+00	6.620330e-06	7.396287e-08
2.454310e+00	7.377127e-06	9.195979e-08
2.504413e+00	8.174730e-06	9.886558e-08
2.554964e+00	9.025209e-06	1.054720e-07
2.605999e+00	9.927532e-06	1.106221e-07
2.657555e+00	1.088119e-05	1.200814e-07
2.709672e+00	1.188088e-05	9.594273e-08
2.762387e+00	1.299222e-05	2.655742e-07
2.815742e+00	1.411224e-05	2.868904e-07
2.869777e+00	1.524760e-05	1.967215e-07
2.924536e+00	1.651014e-05	2.842435e-07
