#W	lo_pdf_xsect	error
9.759245e-01	3.472226e-11	1.431505e-10
1.012688e+00	2.946417e-11	1.567092e-10
1.048882e+00	1.074459e-08	8.417921e-10
1.084585e+00	4.987558e-08	3.441944e-09
1.119865e+00	1.171072e-07	7.342065e-09
1.154784e+00	2.185891e-07	1.227611e-08
1.189396e+00	3.692922e-07	1.925970e-08
1.223750e+00	5.816898e-07	3.180824e-08
1.257890e+00	8.643504e-07	4.393138e-08
1.291857e+00	1.229243e-06	5.517421e-08
1.325687e+00	1.688640e-06	7.027551e-08
1.359415e+00	2.260024e-06	8.791702e-08
1.393074e+00	2.950767e-06	1.060033e-07
1.426694e+00	3.773410e-06	1.313249e-07
1.460304e+00	4.734745e-06	1.550832e-07
1.493931e+00	5.836748e-06	2.206479e-07
1.527601e+00	7.117960e-06	2.558863e-07
1.561340e+00	8.574179e-06	2.667236e-07
1.595172e+00	1.020538e-05	2.957620e-07
1.629120e+00	1.201305e-05	2.624133e-07
1.663209e+00	1.405079e-05	2.653003e-07
1.697460e+00	1.626729e-05	2.920646e-07
1.731898e+00	1.871484e-05	2.976997e-07
1.766544e+00	2.134106e-05	3.309338e-07
1.801420e+00	2.425450e-05	3.701049e-07
1.836550e+00	2.734348e-05	3.892874e-07
1.871956e+00	3.065816e-05	3.906384e-07
1.907661e+00	3.425010e-05	4.577360e-07
1.943688e+00	3.800863e-05	4.608179e-07
1.980060e+00	4.198282e-05	4.628823e-07
2.016803e+00	4.621572e-05	5.175002e-07
2.053939e+00	5.066615e-05	5.697648e-07
2.091495e+00	5.526363e-05	5.726162e-07
2.129496e+00	6.020437e-05	9.453630e-07
2.167969e+00	6.518396e-05	8.507692e-07
2.206942e+00	7.012766e-05	1.640503e-06
2.246444e+00	7.556236e-05	1.096761e-06
2.286505e+00	8.148682e-05	1.267345e-06
2.327155e+00	8.682012e-05	1.131580e-06
2.368428e+00	9.261806e-05	1.359894e-06
2.410356e+00	9.886674e-05	9.937598e-07
2.452976e+00	1.050395e-04	1.442265e-06
2.496326e+00	1.111305e-04	1.298166e-06
2.540444e+00	1.171227e-04	9.556097e-07
2.585372e+00	1.235241e-04	1.152799e-06
2.631153e+00	1.298089e-04	1.128546e-06
2.677835e+00	1.359916e-04	9.593903e-07
2.725466e+00	1.425418e-04	1.279513e-06
2.774099e+00	1.484792e-04	1.479427e-06
2.823789e+00	1.547654e-04	1.205761e-06
2.874594e+00	1.613999e-04	1.909598e-06
2.926579e+00	1.674204e-04	1.276360e-06
2.979811e+00	1.733548e-04	1.127314e-06
3.034361e+00	1.795464e-04	1.894379e-06
3.090308e+00	1.851239e-04	1.092980e-06
3.147735e+00	1.911250e-04	1.830448e-06
3.206732e+00	1.965432e-04	1.161879e-06
3.267396e+00	2.022967e-04	1.925293e-06
3.329832e+00	2.075102e-04	1.551586e-06
3.394154e+00	2.127808e-04	1.351050e-06
3.460486e+00	2.178956e-04	1.523364e-06
3.528962e+00	2.231358e-04	1.547872e-06
3.599730e+00	2.284606e-04	2.353593e-06
3.672950e+00	2.334478e-04	1.876214e-06
