#W	lo_pdf_xsect	error
9.660104e-01	1.141055e-10	5.114611e-10
9.932972e-01	1.008448e-10	5.540532e-10
1.020394e+00	3.675122e-08	3.164975e-09
1.047333e+00	1.664149e-07	1.270098e-08
1.074143e+00	3.854614e-07	2.466711e-08
1.100848e+00	7.114638e-07	4.164234e-08
1.127476e+00	1.185401e-06	6.502917e-08
1.154048e+00	1.833130e-06	1.011484e-07
1.180586e+00	2.702835e-06	1.483473e-07
1.207110e+00	3.828413e-06	1.799079e-07
1.233642e+00	5.228223e-06	2.275204e-07
1.260199e+00	6.934299e-06	2.793148e-07
1.286799e+00	8.991141e-06	3.423280e-07
1.313460e+00	1.141814e-05	4.111616e-07
1.340200e+00	1.420440e-05	6.158539e-07
1.367034e+00	1.750559e-05	6.310395e-07
1.393980e+00	2.125694e-05	7.752316e-07
1.421053e+00	2.546175e-05	8.148991e-07
1.448270e+00	3.011491e-05	8.940682e-07
1.475646e+00	3.536082e-05	8.072799e-07
1.503198e+00	4.105985e-05	7.967660e-07
1.530942e+00	4.749917e-05	8.930937e-07
1.558893e+00	5.439212e-05	9.637638e-07
1.587067e+00	6.188402e-05	1.040822e-06
1.615482e+00	6.998317e-05	1.106224e-06
1.644154e+00	7.866860e-05	1.199652e-06
1.673099e+00	8.807202e-05	1.279824e-06
1.702336e+00	9.790897e-05	1.388157e-06
1.731882e+00	1.084490e-04	1.406157e-06
1.761755e+00	1.197002e-04	1.579034e-06
1.791975e+00	1.313153e-04	1.576229e-06
1.822560e+00	1.436360e-04	1.770190e-06
1.853530e+00	1.568473e-04	3.673833e-06
1.884907e+00	1.697500e-04	2.501190e-06
1.916711e+00	1.839519e-04	3.320207e-06
1.948966e+00	1.980447e-04	3.024939e-06
1.981695e+00	2.120112e-04	4.154016e-06
2.014922e+00	2.272646e-04	3.355026e-06
2.048673e+00	2.436632e-04	3.918258e-06
2.082974e+00	2.585732e-04	3.285134e-06
2.117854e+00	2.746053e-04	3.423690e-06
2.153343e+00	2.917268e-04	3.789340e-06
2.189471e+00	3.072681e-04	4.303359e-06
2.226271e+00	3.238638e-04	4.200181e-06
2.263778e+00	3.414247e-04	3.693457e-06
2.302029e+00	3.573564e-04	3.672134e-06
2.341063e+00	3.742111e-04	3.304880e-06
2.380920e+00	3.906387e-04	3.234294e-06
2.421646e+00	4.066697e-04	3.601578e-06
2.463287e+00	4.234695e-04	3.976801e-06
2.505892e+00	4.385281e-04	3.428852e-06
2.549516e+00	4.543045e-04	3.592189e-06
2.594215e+00	4.694127e-04	5.095854e-06
2.640051e+00	4.830176e-04	3.146453e-06
2.687089e+00	4.971375e-04	3.453149e-06
2.735401e+00	5.105686e-04	4.068958e-06
2.785062e+00	5.221904e-04	3.650447e-06
2.836156e+00	5.342538e-04	3.571747e-06
2.888772e+00	5.447383e-04	3.486696e-06
2.943006e+00	5.554805e-04	4.175274e-06
2.998964e+00	5.645614e-04	4.028510e-06
3.056760e+00	5.720881e-04	3.388291e-06
3.116521e+00	5.799541e-04	3.667956e-06
3.178383e+00	5.861304e-04	3.213944e-06
3.242496e+00	5.917881e-04	4.321842e-06
3.309028e+00	5.960323e-04	3.742270e-06
3.378160e+00	5.988574e-04	3.491654e-06
3.450095e+00	6.014423e-04	3.568150e-06
3.525059e+00	6.040882e-04	3.984932e-06
3.603302e+00	6.055029e-04	4.499026e-06
3.685104e+00	6.062160e-04	4.467658e-06
3.770780e+00	6.064675e-04	4.311484e-06
3.860686e+00	6.062431e-04	4.646634e-06
