#W	lo_pdf_xsect	error
1.011037e+00	2.497937e-12	7.448380e-12
1.080045e+00	2.043839e-12	8.435146e-12
1.146199e+00	7.297411e-10	4.841058e-11
1.210006e+00	3.564521e-09	1.887525e-10
1.271859e+00	8.733681e-09	4.294794e-10
1.332066e+00	1.681613e-08	7.580331e-10
1.390879e+00	2.927517e-08	1.197572e-09
1.448507e+00	4.710476e-08	1.863713e-09
1.505124e+00	7.181235e-08	2.792071e-09
1.560877e+00	1.039684e-07	4.068743e-09
1.615896e+00	1.462819e-07	5.148972e-09
1.670291e+00	1.991771e-07	6.568214e-09
1.724162e+00	2.636358e-07	8.277075e-09
1.777597e+00	3.425539e-07	1.045129e-08
1.830675e+00	4.357378e-07	1.295570e-08
1.883467e+00	5.455191e-07	1.571969e-08
1.936040e+00	6.729710e-07	2.147475e-08
1.988455e+00	8.217952e-07	2.394141e-08
2.040768e+00	9.871422e-07	2.817682e-08
2.093032e+00	1.175972e-06	2.953102e-08
2.145297e+00	1.388966e-06	2.888208e-08
2.197612e+00	1.626773e-06	3.651799e-08
2.250022e+00	1.896667e-06	3.654254e-08
2.302571e+00	2.185721e-06	4.180141e-08
2.355302e+00	2.508354e-06	4.503428e-08
2.408257e+00	2.865457e-06	5.052354e-08
2.461476e+00	3.250509e-06	5.554556e-08
2.515000e+00	3.671480e-06	5.833977e-08
2.568870e+00	4.121627e-06	6.513762e-08
