#W	lo_pdf_xsect	error
9.893189e-01	1.039430e-11	3.743109e-11
1.038615e+00	8.524717e-12	4.152748e-11
1.086624e+00	3.103775e-09	2.256742e-10
1.133537e+00	1.474048e-08	8.808116e-10
1.179515e+00	3.523854e-08	1.912435e-09
1.224691e+00	6.688818e-08	3.364604e-09
1.269179e+00	1.143962e-07	5.375173e-09
1.313078e+00	1.813546e-07	8.090555e-09
1.356475e+00	2.731871e-07	1.132177e-08
1.399446e+00	3.920802e-07	1.421149e-08
1.442059e+00	5.445639e-07	1.968240e-08
1.484376e+00	7.335077e-07	2.598279e-08
1.526453e+00	9.636695e-07	3.187008e-08
1.568340e+00	1.237889e-06	3.853938e-08
1.610084e+00	1.562829e-06	4.493901e-08
1.651730e+00	1.943395e-06	5.295735e-08
1.693318e+00	2.382274e-06	7.079366e-08
1.734886e+00	2.873969e-06	8.297532e-08
1.776473e+00	3.432860e-06	8.889093e-08
1.818112e+00	4.059249e-06	8.718080e-08
1.859838e+00	4.774482e-06	9.423510e-08
1.901683e+00	5.538236e-06	8.509573e-08
1.943679e+00	6.391265e-06	9.889864e-08
1.985856e+00	7.334391e-06	1.073965e-07
2.028246e+00	8.347651e-06	1.130769e-07
2.070879e+00	9.450591e-06	1.236072e-07
2.113784e+00	1.064269e-05	1.224524e-07
2.156992e+00	1.190287e-05	1.333535e-07
2.200533e+00	1.327199e-05	1.441014e-07
2.244437e+00	1.470713e-05	1.490147e-07
2.288734e+00	1.624963e-05	1.705770e-07
2.333456e+00	1.785541e-05	1.730359e-07
2.378634e+00	1.954701e-05	1.746481e-07
2.424301e+00	2.134288e-05	1.953345e-07
2.470490e+00	2.328337e-05	4.631150e-07
2.517235e+00	2.523689e-05	5.686892e-07
2.564570e+00	2.719182e-05	3.009780e-07
2.612533e+00	2.935350e-05	4.846247e-07
2.661162e+00	3.150403e-05	3.493437e-07
2.710495e+00	3.365447e-05	3.461565e-07
2.760573e+00	3.600479e-05	3.317353e-07
2.811440e+00	3.835095e-05	4.440318e-07
2.863140e+00	4.089862e-05	4.149080e-07
2.915720e+00	4.343979e-05	4.227488e-07
2.969230e+00	4.598127e-05	3.968656e-07
3.023722e+00	4.872826e-05	8.062265e-07
3.079250e+00	5.127532e-05	5.657914e-07
3.135874e+00	5.403647e-05	6.185862e-07
3.193655e+00	5.701008e-05	6.932660e-07
3.252658e+00	5.980585e-05	6.381298e-07
3.312953e+00	6.283083e-05	6.681617e-07
