#W	lo_pdf_xsect	error
9.821202e-01	1.906091e-11	7.413316e-11
1.024718e+00	1.588171e-11	8.184831e-11
1.066442e+00	5.780924e-09	4.601365e-10
1.107414e+00	2.714161e-08	1.804931e-09
1.147741e+00	6.437104e-08	3.789652e-09
1.187513e+00	1.211926e-07	6.509287e-09
1.226810e+00	2.059237e-07	1.008951e-08
1.265701e+00	3.235361e-07	1.730415e-08
1.304250e+00	4.867800e-07	2.276138e-08
1.342512e+00	6.943594e-07	2.877868e-08
1.380537e+00	9.599301e-07	3.737274e-08
1.418373e+00	1.288086e-06	4.743434e-08
1.456062e+00	1.686557e-06	5.813037e-08
1.493643e+00	2.163047e-06	7.212466e-08
1.531153e+00	2.725239e-06	8.536395e-08
1.568627e+00	3.390565e-06	1.378866e-07
1.606099e+00	4.114514e-06	1.455742e-07
1.643599e+00	4.979412e-06	1.469913e-07
1.681157e+00	5.920078e-06	1.705914e-07
1.718803e+00	7.002765e-06	1.430644e-07
1.756564e+00	8.195088e-06	1.545322e-07
1.794468e+00	9.497902e-06	1.596674e-07
1.832542e+00	1.094454e-05	1.881065e-07
1.870813e+00	1.253532e-05	1.899955e-07
1.909306e+00	1.423746e-05	2.037725e-07
1.948048e+00	1.608341e-05	2.143063e-07
1.987065e+00	1.807003e-05	2.453173e-07
2.026383e+00	2.016276e-05	2.417848e-07
2.066028e+00	2.242689e-05	2.518949e-07
2.106028e+00	2.482752e-05	2.572207e-07
2.146409e+00	2.736457e-05	2.868205e-07
2.187199e+00	3.002154e-05	2.979960e-07
2.228427e+00	3.281575e-05	3.158373e-07
2.270121e+00	3.563499e-05	4.849802e-07
2.312311e+00	3.873459e-05	4.135762e-07
2.355028e+00	4.182530e-05	5.952654e-07
2.398304e+00	4.522752e-05	4.855396e-07
2.442171e+00	4.861294e-05	4.936500e-07
2.486665e+00	5.197041e-05	7.240232e-07
2.531821e+00	5.562303e-05	4.944228e-07
2.577675e+00	5.924979e-05	5.809696e-07
2.624268e+00	6.315659e-05	5.852713e-07
2.671640e+00	6.702739e-05	8.493847e-07
2.719834e+00	7.086407e-05	7.257741e-07
2.768895e+00	7.465323e-05	6.344911e-07
2.818872e+00	7.871954e-05	5.912300e-07
2.869815e+00	8.274168e-05	6.608952e-07
2.921777e+00	8.672571e-05	7.213177e-07
2.974816e+00	9.096778e-05	7.514260e-07
3.028990e+00	9.517248e-05	1.113072e-06
3.084366e+00	9.903491e-05	1.067993e-06
3.141011e+00	1.034723e-04	1.175139e-06
3.198998e+00	1.075811e-04	9.427176e-07
3.258407e+00	1.116773e-04	8.290715e-07
3.319321e+00	1.158290e-04	1.065411e-06
3.381831e+00	1.201993e-04	1.012507e-06
3.446035e+00	1.243660e-04	9.492818e-07
3.512037e+00	1.288671e-04	1.406376e-06
