# Q2	W	Sigma_L(GeV^-2)	Sigma_T(GeV^-2)	R
3.000000e+01	1.070000e+00	1.062635e-08	1.352942e-05	7.854257e-04
3.000000e+01	1.077186e+00	1.087787e-08	1.348816e-05	8.064754e-04
3.000000e+01	1.084372e+00	1.115643e-08	1.348519e-05	8.273098e-04
3.000000e+01	1.091558e+00	1.145322e-08	1.351703e-05	8.473179e-04
3.000000e+01	1.098744e+00	1.176515e-08	1.358082e-05	8.663058e-04
3.000000e+01	1.105930e+00	1.209354e-08	1.367415e-05	8.844089e-04
3.000000e+01	1.113116e+00	1.244308e-08	1.379498e-05	9.020001e-04
3.000000e+01	1.120302e+00	1.281496e-08	1.394160e-05	9.191885e-04
3.000000e+01	1.127487e+00	1.320654e-08	1.411254e-05	9.358017e-04
3.000000e+01	1.134673e+00	1.361830e-08	1.430653e-05	9.518938e-04
3.000000e+01	1.141859e+00	1.404994e-08	1.452255e-05	9.674568e-04
3.000000e+01	1.149045e+00	1.450203e-08	1.475976e-05	9.825381e-04
3.000000e+01	1.156231e+00	1.497733e-08	1.501742e-05	9.973306e-04
3.000000e+01	1.163417e+00	1.547541e-08	1.529502e-05	1.011794e-03
3.000000e+01	1.170603e+00	1.599718e-08	1.559213e-05	1.025978e-03
3.000000e+01	1.177789e+00	1.654526e-08	1.590824e-05	1.040043e-03
3.000000e+01	1.184975e+00	1.711964e-08	1.624247e-05	1.054005e-03
3.000000e+01	1.192161e+00	1.772176e-08	1.659400e-05	1.067962e-03
3.000000e+01	1.199347e+00	1.835144e-08	1.696294e-05	1.081855e-03
3.000000e+01	1.206533e+00	1.900672e-08	1.735074e-05	1.095442e-03
3.000000e+01	1.213719e+00	1.969142e-08	1.775863e-05	1.108837e-03
3.000000e+01	1.220905e+00	2.040912e-08	1.818373e-05	1.122384e-03
3.000000e+01	1.228090e+00	2.115482e-08	1.861983e-05	1.136145e-03
3.000000e+01	1.235276e+00	2.192090e-08	1.906012e-05	1.150093e-03
3.000000e+01	1.242462e+00	2.272924e-08	1.948858e-05	1.166285e-03
3.000000e+01	1.249648e+00	2.358950e-08	1.988570e-05	1.186254e-03
3.000000e+01	1.256834e+00	2.447843e-08	2.023848e-05	1.209500e-03
3.000000e+01	1.264020e+00	2.537811e-08	2.055577e-05	1.234598e-03
3.000000e+01	1.271206e+00	2.629405e-08	2.085141e-05	1.261020e-03
3.000000e+01	1.278392e+00	2.724011e-08	2.113530e-05	1.288844e-03
3.000000e+01	1.285578e+00	2.821300e-08	2.141021e-05	1.317735e-03
3.000000e+01	1.292764e+00	2.920853e-08	2.167780e-05	1.347394e-03
3.000000e+01	1.299950e+00	3.022310e-08	2.194026e-05	1.377518e-03
3.000000e+01	1.307136e+00	3.125482e-08	2.220058e-05	1.407838e-03
3.000000e+01	1.314322e+00	3.230660e-08	2.246150e-05	1.438310e-03
3.000000e+01	1.321508e+00	3.337862e-08	2.272516e-05	1.468796e-03
3.000000e+01	1.328693e+00	3.446955e-08	2.299325e-05	1.499116e-03
3.000000e+01	1.335879e+00	3.558108e-08	2.326732e-05	1.529230e-03
3.000000e+01	1.343065e+00	3.671218e-08	2.354884e-05	1.558980e-03
3.000000e+01	1.350251e+00	3.786322e-08	2.383918e-05	1.588277e-03
3.000000e+01	1.357437e+00	3.903655e-08	2.413959e-05	1.617117e-03
3.000000e+01	1.364623e+00	4.023115e-08	2.445119e-05	1.645366e-03
3.000000e+01	1.371809e+00	4.144834e-08	2.477498e-05	1.672992e-03
3.000000e+01	1.378995e+00	4.269025e-08	2.511191e-05	1.700000e-03
3.000000e+01	1.386181e+00	4.395704e-08	2.546287e-05	1.726319e-03
3.000000e+01	1.393367e+00	4.525188e-08	2.582869e-05	1.752001e-03
3.000000e+01	1.400553e+00	4.657599e-08	2.621012e-05	1.777023e-03
3.000000e+01	1.407739e+00	4.792844e-08	2.660788e-05	1.801287e-03
3.000000e+01	1.414925e+00	4.931132e-08	2.702265e-05	1.824815e-03
