# Q2	W	Sigma_L(GeV^-2)	Sigma_T(GeV^-2)	R
1.400000e+01	1.070000e+00	1.313181e-06	3.386509e-04	3.877683e-03
1.400000e+01	1.077186e+00	1.315594e-06	3.348384e-04	3.929043e-03
1.400000e+01	1.084372e+00	1.321352e-06	3.314543e-04	3.986528e-03
1.400000e+01	1.091558e+00	1.329693e-06	3.284963e-04	4.047818e-03
1.400000e+01	1.098744e+00	1.340152e-06	3.259617e-04	4.111378e-03
1.400000e+01	1.105930e+00	1.352489e-06	3.238475e-04	4.176313e-03
1.400000e+01	1.113116e+00	1.366642e-06	3.221503e-04	4.242250e-03
1.400000e+01	1.120302e+00	1.382517e-06	3.208615e-04	4.308766e-03
1.400000e+01	1.127487e+00	1.399944e-06	3.199676e-04	4.375267e-03
1.400000e+01	1.134673e+00	1.418855e-06	3.194561e-04	4.441470e-03
1.400000e+01	1.141859e+00	1.439150e-06	3.193160e-04	4.506977e-03
1.400000e+01	1.149045e+00	1.460748e-06	3.195374e-04	4.571445e-03
1.400000e+01	1.156231e+00	1.483645e-06	3.201112e-04	4.634780e-03
1.400000e+01	1.163417e+00	1.507791e-06	3.210287e-04	4.696750e-03
1.400000e+01	1.170603e+00	1.533179e-06	3.222813e-04	4.757269e-03
1.400000e+01	1.177789e+00	1.559834e-06	3.238618e-04	4.816357e-03
1.400000e+01	1.184975e+00	1.587706e-06	3.257643e-04	4.873786e-03
1.400000e+01	1.192161e+00	1.616804e-06	3.279835e-04	4.929528e-03
1.400000e+01	1.199347e+00	1.647162e-06	3.305131e-04	4.983653e-03
1.400000e+01	1.206533e+00	1.678793e-06	3.333455e-04	5.036195e-03
1.400000e+01	1.213719e+00	1.711758e-06	3.364736e-04	5.087347e-03
1.400000e+01	1.220905e+00	1.746012e-06	3.398980e-04	5.136871e-03
1.400000e+01	1.228090e+00	1.781447e-06	3.436252e-04	5.184275e-03
1.400000e+01	1.235276e+00	1.818108e-06	3.476462e-04	5.229764e-03
1.400000e+01	1.242462e+00	1.856351e-06	3.518209e-04	5.276409e-03
1.400000e+01	1.249648e+00	1.896247e-06	3.559546e-04	5.327214e-03
1.400000e+01	1.256834e+00	1.937410e-06	3.599106e-04	5.383030e-03
1.400000e+01	1.264020e+00	1.979608e-06	3.637407e-04	5.442359e-03
1.400000e+01	1.271206e+00	2.022939e-06	3.675411e-04	5.503982e-03
1.400000e+01	1.278392e+00	2.067584e-06	3.713807e-04	5.567290e-03
1.400000e+01	1.285578e+00	2.113448e-06	3.752797e-04	5.631662e-03
1.400000e+01	1.292764e+00	2.160453e-06	3.792501e-04	5.696646e-03
1.400000e+01	1.299950e+00	2.208560e-06	3.833069e-04	5.761857e-03
1.400000e+01	1.307136e+00	2.257772e-06	3.874695e-04	5.826966e-03
1.400000e+01	1.314322e+00	2.308172e-06	3.917557e-04	5.891865e-03
1.400000e+01	1.321508e+00	2.359773e-06	3.961784e-04	5.956341e-03
1.400000e+01	1.328693e+00	2.412555e-06	4.007474e-04	6.020138e-03
1.400000e+01	1.335879e+00	2.466547e-06	4.054718e-04	6.083154e-03
1.400000e+01	1.343065e+00	2.521742e-06	4.103617e-04	6.145169e-03
1.400000e+01	1.350251e+00	2.578164e-06	4.154275e-04	6.206051e-03
1.400000e+01	1.357437e+00	2.635888e-06	4.206765e-04	6.265832e-03
1.400000e+01	1.364623e+00	2.694963e-06	4.261094e-04	6.324580e-03
1.400000e+01	1.371809e+00	2.755460e-06	4.317253e-04	6.382438e-03
1.400000e+01	1.378995e+00	2.817377e-06	4.375339e-04	6.439220e-03
1.400000e+01	1.386181e+00	2.880585e-06	4.435634e-04	6.494192e-03
1.400000e+01	1.393367e+00	2.945100e-06	4.498387e-04	6.547014e-03
1.400000e+01	1.400553e+00	3.011225e-06	4.562979e-04	6.599253e-03
1.400000e+01	1.407739e+00	3.079175e-06	4.627923e-04	6.653471e-03
1.400000e+01	1.414925e+00	3.148721e-06	4.691902e-04	6.710969e-03
1.400000e+01	1.422111e+00	3.219610e-06	4.754828e-04	6.771244e-03
1.400000e+01	1.429296e+00	3.291863e-06	4.817305e-04	6.833413e-03
1.400000e+01	1.436482e+00	3.365639e-06	4.879857e-04	6.897004e-03
1.400000e+01	1.443668e+00	3.440919e-06	4.942736e-04	6.961567e-03
1.400000e+01	1.450854e+00	3.517661e-06	5.006098e-04	7.026753e-03
1.400000e+01	1.458040e+00	3.595863e-06	5.070092e-04	7.092303e-03
1.400000e+01	1.465226e+00	3.675499e-06	5.134876e-04	7.157912e-03
1.400000e+01	1.472412e+00	3.756605e-06	5.200596e-04	7.223412e-03
1.400000e+01	1.479598e+00	3.839213e-06	5.267385e-04	7.288650e-03
1.400000e+01	1.486784e+00	3.923308e-06	5.335356e-04	7.353414e-03
1.400000e+01	1.493970e+00	4.008930e-06	5.404612e-04	7.417611e-03
1.400000e+01	1.501156e+00	4.096112e-06	5.475232e-04	7.481166e-03
1.400000e+01	1.508342e+00	4.184880e-06	5.547279e-04	7.544022e-03
1.400000e+01	1.515528e+00	4.275295e-06	5.620816e-04	7.606182e-03
1.400000e+01	1.522714e+00	4.367347e-06	5.695970e-04	7.667433e-03
