# Q2	W	Sigma_L(GeV^-2)	Sigma_T(GeV^-2)	R
1.200000e+01	1.070000e+00	3.110240e-06	5.977575e-04	5.203180e-03
1.200000e+01	1.077186e+00	3.107396e-06	5.885746e-04	5.279528e-03
1.200000e+01	1.084372e+00	3.111438e-06	5.811051e-04	5.354346e-03
1.200000e+01	1.091558e+00	3.121410e-06	5.751465e-04	5.427156e-03
1.200000e+01	1.098744e+00	3.136679e-06	5.705322e-04	5.497813e-03
1.200000e+01	1.105930e+00	3.156865e-06	5.671236e-04	5.566450e-03
1.200000e+01	1.113116e+00	3.181779e-06	5.648054e-04	5.633407e-03
1.200000e+01	1.120302e+00	3.211062e-06	5.635069e-04	5.698355e-03
1.200000e+01	1.127487e+00	3.244267e-06	5.631981e-04	5.760437e-03
1.200000e+01	1.134673e+00	3.281285e-06	5.638436e-04	5.819494e-03
1.200000e+01	1.141859e+00	3.322194e-06	5.652927e-04	5.876944e-03
1.200000e+01	1.149045e+00	3.366848e-06	5.673378e-04	5.934469e-03
1.200000e+01	1.156231e+00	3.414930e-06	5.697928e-04	5.993283e-03
1.200000e+01	1.163417e+00	3.466550e-06	5.724590e-04	6.055542e-03
1.200000e+01	1.170603e+00	3.521608e-06	5.751508e-04	6.122930e-03
1.200000e+01	1.177789e+00	3.579587e-06	5.777724e-04	6.195497e-03
1.200000e+01	1.184975e+00	3.640063e-06	5.804379e-04	6.271237e-03
1.200000e+01	1.192161e+00	3.703077e-06	5.832833e-04	6.348676e-03
1.200000e+01	1.199347e+00	3.768766e-06	5.863905e-04	6.427058e-03
1.200000e+01	1.206533e+00	3.836968e-06	5.897699e-04	6.505872e-03
1.200000e+01	1.213719e+00	3.907593e-06	5.934251e-04	6.584813e-03
1.200000e+01	1.220905e+00	3.980560e-06	5.973675e-04	6.663504e-03
1.200000e+01	1.228090e+00	4.055836e-06	6.016152e-04	6.741579e-03
1.200000e+01	1.235276e+00	4.133508e-06	6.061843e-04	6.818897e-03
1.200000e+01	1.242462e+00	4.213536e-06	6.110879e-04	6.895138e-03
1.200000e+01	1.249648e+00	4.295883e-06	6.163371e-04	6.970022e-03
1.200000e+01	1.256834e+00	4.380634e-06	6.219388e-04	7.043513e-03
1.200000e+01	1.264020e+00	4.467865e-06	6.278871e-04	7.115714e-03
1.200000e+01	1.271206e+00	4.557696e-06	6.341730e-04	7.186833e-03
1.200000e+01	1.278392e+00	4.650131e-06	6.408062e-04	7.256689e-03
1.200000e+01	1.285578e+00	4.744912e-06	6.478379e-04	7.324227e-03
1.200000e+01	1.292764e+00	4.842035e-06	6.553177e-04	7.388835e-03
1.200000e+01	1.299950e+00	4.941968e-06	6.631640e-04	7.452106e-03
1.200000e+01	1.307136e+00	5.045101e-06	6.711354e-04	7.517262e-03
1.200000e+01	1.314322e+00	5.151104e-06	6.790112e-04	7.586183e-03
1.200000e+01	1.321508e+00	5.259541e-06	6.867493e-04	7.658603e-03
1.200000e+01	1.328693e+00	5.370395e-06	6.944310e-04	7.733519e-03
