# Q2	W	Sigma_L(GeV^-2)	Sigma_T(GeV^-2)	R
1.125000e+01	1.070000e+00	4.418076e-06	7.565261e-04	5.839953e-03
1.125000e+01	1.077186e+00	4.409616e-06	7.458223e-04	5.912421e-03
1.125000e+01	1.084372e+00	4.411969e-06	7.373346e-04	5.983673e-03
1.125000e+01	1.091558e+00	4.423389e-06	7.308032e-04	6.052778e-03
1.125000e+01	1.098744e+00	4.442658e-06	7.260141e-04	6.119245e-03
1.125000e+01	1.105930e+00	4.468973e-06	7.227895e-04	6.182953e-03
1.125000e+01	1.113116e+00	4.501879e-06	7.209733e-04	6.244169e-03
1.125000e+01	1.120302e+00	4.541566e-06	7.202259e-04	6.305752e-03
1.125000e+01	1.127487e+00	4.588023e-06	7.200241e-04	6.372041e-03
1.125000e+01	1.134673e+00	4.640166e-06	7.199422e-04	6.445193e-03
1.125000e+01	1.141859e+00	4.696851e-06	7.199570e-04	6.523794e-03
1.125000e+01	1.149045e+00	4.757784e-06	7.202678e-04	6.605577e-03
1.125000e+01	1.156231e+00	4.823201e-06	7.210311e-04	6.689311e-03
1.125000e+01	1.163417e+00	4.892857e-06	7.222787e-04	6.774195e-03
1.125000e+01	1.170603e+00	4.966396e-06	7.240009e-04	6.859654e-03
1.125000e+01	1.177789e+00	5.043599e-06	7.261937e-04	6.945253e-03
1.125000e+01	1.184975e+00	5.124297e-06	7.288683e-04	7.030484e-03
1.125000e+01	1.192161e+00	5.208508e-06	7.320366e-04	7.115092e-03
1.125000e+01	1.199347e+00	5.296230e-06	7.357078e-04	7.198822e-03
1.125000e+01	1.206533e+00	5.387290e-06	7.398883e-04	7.281220e-03
1.125000e+01	1.213719e+00	5.481685e-06	7.445825e-04	7.362092e-03
1.125000e+01	1.220905e+00	5.579489e-06	7.497810e-04	7.441491e-03
1.125000e+01	1.228090e+00	5.680801e-06	7.554637e-04	7.519622e-03
1.125000e+01	1.235276e+00	5.785740e-06	7.616179e-04	7.596644e-03
1.125000e+01	1.242462e+00	5.894008e-06	7.682882e-04	7.671612e-03
1.125000e+01	1.249648e+00	6.005395e-06	7.755437e-04	7.743464e-03
