# Q2	W	Sigma_L(GeV^-2)	Sigma_T(GeV^-2)	R
2.000000e+01	1.070000e+00	1.634999e-07	8.629122e-05	1.894746e-03
2.000000e+01	1.077186e+00	1.651706e-07	8.498002e-05	1.943641e-03
2.000000e+01	1.084372e+00	1.671771e-07	8.386009e-05	1.993524e-03
2.000000e+01	1.091558e+00	1.694239e-07	8.291647e-05	2.043308e-03
2.000000e+01	1.098744e+00	1.718607e-07	8.213668e-05	2.092375e-03
2.000000e+01	1.105930e+00	1.744730e-07	8.151026e-05	2.140504e-03
2.000000e+01	1.113116e+00	1.772731e-07	8.102833e-05	2.187792e-03
2.000000e+01	1.120302e+00	1.802603e-07	8.068319e-05	2.234174e-03
2.000000e+01	1.127487e+00	1.834166e-07	8.046818e-05	2.279368e-03
2.000000e+01	1.134673e+00	1.867452e-07	8.037745e-05	2.323353e-03
2.000000e+01	1.141859e+00	1.902392e-07	8.040601e-05	2.365982e-03
2.000000e+01	1.149045e+00	1.938936e-07	8.054948e-05	2.407136e-03
2.000000e+01	1.156231e+00	1.977198e-07	8.080400e-05	2.446906e-03
2.000000e+01	1.163417e+00	2.017136e-07	8.116620e-05	2.485191e-03
2.000000e+01	1.170603e+00	2.058797e-07	8.163307e-05	2.522013e-03
2.000000e+01	1.177789e+00	2.102309e-07	8.220195e-05	2.557493e-03
2.000000e+01	1.184975e+00	2.147621e-07	8.287070e-05	2.591532e-03
2.000000e+01	1.192161e+00	2.194823e-07	8.363735e-05	2.624214e-03
2.000000e+01	1.199347e+00	2.244000e-07	8.450005e-05	2.655619e-03
2.000000e+01	1.206533e+00	2.295094e-07	8.545700e-05	2.685671e-03
2.000000e+01	1.213719e+00	2.348209e-07	8.650652e-05	2.714488e-03
2.000000e+01	1.220905e+00	2.403421e-07	8.764784e-05	2.742133e-03
2.000000e+01	1.228090e+00	2.460815e-07	8.888088e-05	2.768667e-03
2.000000e+01	1.235276e+00	2.520623e-07	9.020522e-05	2.794320e-03
2.000000e+01	1.242462e+00	2.582696e-07	9.161788e-05	2.818987e-03
2.000000e+01	1.249648e+00	2.646747e-07	9.311475e-05	2.842457e-03
2.000000e+01	1.256834e+00	2.712965e-07	9.468087e-05	2.865378e-03
2.000000e+01	1.264020e+00	2.782575e-07	9.625211e-05	2.890924e-03
2.000000e+01	1.271206e+00	2.855530e-07	9.775642e-05	2.921066e-03
2.000000e+01	1.278392e+00	2.930545e-07	9.915683e-05	2.955465e-03
2.000000e+01	1.285578e+00	3.007064e-07	1.004868e-04	2.992496e-03
2.000000e+01	1.292764e+00	3.085526e-07	1.017864e-04	3.031375e-03
2.000000e+01	1.299950e+00	3.166401e-07	1.030797e-04	3.071798e-03
2.000000e+01	1.307136e+00	3.249497e-07	1.043730e-04	3.113349e-03
2.000000e+01	1.314322e+00	3.334704e-07	1.056711e-04	3.155740e-03
2.000000e+01	1.321508e+00	3.421867e-07	1.069808e-04	3.198580e-03
