# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 1.15182663e-04 1.04899851e-04 1.02828123e-05 1.06853075e-05 1.01861990e-01 3.05585970e-02
1.200000 3.56627812e-04 3.27583335e-04 2.90444768e-05 3.02300263e-05 9.22819419e-02 2.76845826e-02
1.250000 4.00532361e-04 3.65257922e-04 3.52744388e-05 3.67784998e-05 1.00691861e-01 3.02075582e-02
1.300000 3.58378122e-04 3.20858605e-04 3.75195165e-05 3.91934419e-05 1.22151755e-01 3.66455266e-02
1.350000 4.46293135e-04 3.95945031e-04 5.03481039e-05 5.27022902e-05 1.33105068e-01 3.99315203e-02
1.400000 5.38522055e-04 4.83428305e-04 5.50937501e-05 5.77978566e-05 1.19558280e-01 3.58674840e-02
1.450000 6.24410806e-04 5.75899982e-04 4.85108243e-05 5.10139773e-05 8.85813143e-02 2.65743943e-02
1.500000 1.12420808e-03 1.06864958e-03 5.55584961e-05 5.85768336e-05 5.48138835e-02 1.64441650e-02
1.550000 1.04829970e-03 9.90695525e-04 5.76041764e-05 6.09037546e-05 6.14757542e-02 1.84427263e-02
1.600000 9.53594342e-04 8.93177352e-04 6.04169900e-05 6.40708020e-05 7.17335721e-02 2.15200716e-02
1.650000 1.24537629e-03 1.15291547e-03 9.24608177e-05 9.83723501e-05 8.53248593e-02 2.55974578e-02
1.700000 1.40431407e-03 1.27766807e-03 1.26645996e-04 1.35217142e-04 1.05831198e-01 3.17493594e-02
1.750000 1.50084387e-03 1.34581644e-03 1.55027437e-04 1.66147025e-04 1.23454448e-01 3.70363343e-02
1.800000 1.48626453e-03 1.31581495e-03 1.70449580e-04 1.83421820e-04 1.39397884e-01 4.18193652e-02
1.850000 1.52362926e-03 1.34574637e-03 1.77882889e-04 1.92263514e-04 1.42867570e-01 4.28602709e-02
1.900000 1.62982646e-03 1.44141355e-03 1.88412904e-04 2.04610298e-04 1.41951141e-01 4.25853422e-02
1.950000 1.72492957e-03 1.52862209e-03 1.96307478e-04 2.14271789e-04 1.40173160e-01 4.20519480e-02
2.000000 1.80851256e-03 1.60875216e-03 1.99760408e-04 2.19238848e-04 1.36278822e-01 4.08836465e-02
2.050000 1.88560486e-03 1.69913766e-03 1.86467206e-04 2.05859771e-04 1.21155440e-01 3.63466320e-02
2.100000 1.96369969e-03 1.78180441e-03 1.81895278e-04 2.02090383e-04 1.13418948e-01 3.40256845e-02
2.150000 2.03662711e-03 1.85609692e-03 1.80530184e-04 2.01947209e-04 1.08802081e-01 3.26406244e-02
2.200000 2.10151190e-03 1.91918021e-03 1.82331691e-04 2.05465103e-04 1.07058786e-01 3.21176357e-02
2.250000 2.15637841e-03 1.96975314e-03 1.86625271e-04 2.11970301e-04 1.07612622e-01 3.22837867e-02
2.300000 2.20018283e-03 2.00830091e-03 1.91881927e-04 2.19799208e-04 1.09445356e-01 3.28336069e-02
2.350000 2.23362022e-03 2.03709949e-03 1.96520734e-04 2.27178013e-04 1.11520333e-01 3.34560999e-02
2.400000 2.25881576e-03 2.06033004e-03 1.98485726e-04 2.31714195e-04 1.12464601e-01 3.37393802e-02
2.450000 2.28076623e-03 2.08420661e-03 1.96559614e-04 2.31902623e-04 1.11266619e-01 3.33799856e-02
2.500000 2.30655704e-03 2.11696747e-03 1.89589570e-04 2.26235834e-04 1.06867884e-01 3.20603653e-02
