# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 6.17684600e-07 6.13480561e-07 4.20403955e-09 5.23772507e-09 8.53771970e-03 2.56131591e-03
1.200000 2.05228587e-06 2.03639120e-06 1.58946739e-08 1.99232635e-08 9.78361303e-03 2.93508391e-03
1.250000 2.43587264e-06 2.41177204e-06 2.41005978e-08 3.04054031e-08 1.26070800e-02 3.78212400e-03
1.300000 2.27902311e-06 2.24861906e-06 3.04040525e-08 3.86242442e-08 1.71768731e-02 5.15306193e-03
1.350000 2.98920655e-06 2.94285070e-06 4.63558488e-08 5.93254811e-08 2.01591882e-02 6.04775645e-03
1.400000 3.86322148e-06 3.80776024e-06 5.54612389e-08 7.15400451e-08 1.87879595e-02 5.63638784e-03
1.450000 4.85528078e-06 4.80371689e-06 5.15638885e-08 6.70742696e-08 1.39629939e-02 4.18889816e-03
1.500000 9.49385229e-06 9.43340764e-06 6.04446562e-08 7.93342431e-08 8.40992419e-03 2.52297726e-03
1.550000 9.31181338e-06 9.24936511e-06 6.24482724e-08 8.27509067e-08 8.94665804e-03 2.68399741e-03
1.600000 8.87860973e-06 8.81476657e-06 6.38431609e-08 8.54653107e-08 9.69569756e-03 2.90870927e-03
1.650000 1.21152329e-05 1.20216176e-05 9.36152273e-08 1.26688343e-07 1.05383774e-02 3.16151322e-03
1.700000 1.41913273e-05 1.40699971e-05 1.21330183e-07 1.66105731e-07 1.18056692e-02 3.54170076e-03
1.750000 1.57858178e-05 1.56464580e-05 1.39359834e-07 1.93157262e-07 1.23451111e-02 3.70353333e-03
1.800000 1.62883863e-05 1.61452980e-05 1.43088287e-07 2.00951011e-07 1.24464107e-02 3.73392322e-03
1.850000 1.75621908e-05 1.74229803e-05 1.39210521e-07 1.98267233e-07 1.13796394e-02 3.41389181e-03
1.900000 1.98236733e-05 1.96860993e-05 1.37574046e-07 1.98891223e-07 1.01031301e-02 3.03093904e-03
1.950000 2.21532803e-05 2.20191481e-05 1.34132208e-07 1.97037908e-07 8.94848008e-03 2.68454403e-03
2.000000 2.45652588e-05 2.44369291e-05 1.28329707e-07 1.91757230e-07 7.84702647e-03 2.35410794e-03
2.050000 2.73264327e-05 2.72131078e-05 1.13324951e-07 1.72450415e-07 6.33703495e-03 1.90111048e-03
2.100000 3.01897242e-05 3.00843732e-05 1.05351053e-07 1.63469934e-07 5.43371579e-03 1.63011474e-03
2.150000 3.31339149e-05 3.30334464e-05 1.00468493e-07 1.59176649e-07 4.81865099e-03 1.44559530e-03
2.200000 3.60966279e-05 3.59982670e-05 9.83608650e-08 1.59353387e-07 4.42669606e-03 1.32800882e-03
2.250000 3.90323816e-05 3.89339026e-05 9.84790173e-08 1.63405087e-07 4.19698711e-03 1.25909613e-03
2.300000 4.19242389e-05 4.18243001e-05 9.99388718e-08 1.70134925e-07 4.06784871e-03 1.22035461e-03
2.350000 4.47932917e-05 4.46913852e-05 1.01906582e-07 1.78328606e-07 3.99022330e-03 1.19706699e-03
2.400000 4.77114670e-05 4.76081625e-05 1.03304486e-07 1.86207606e-07 3.91125379e-03 1.17337614e-03
2.450000 5.08179722e-05 5.07145482e-05 1.03424026e-07 1.92462610e-07 3.79501774e-03 1.13850532e-03
2.500000 5.43339695e-05 5.42324888e-05 1.01480697e-07 1.95452958e-07 3.60398282e-03 1.08119485e-03
