# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 1.62768056e-06 1.60310232e-06 2.45782355e-08 2.87725924e-08 1.79480698e-02 5.38442093e-03
1.200000 5.35525848e-06 5.27135975e-06 8.38987345e-08 9.86730109e-08 1.87187017e-02 5.61561052e-03
1.250000 6.30280202e-06 6.18442059e-06 1.18381431e-07 1.39920863e-07 2.26247328e-02 6.78741985e-03
1.300000 5.85333776e-06 5.71203526e-06 1.41302498e-07 1.67901318e-07 2.93943071e-02 8.81829212e-03
1.350000 7.61179747e-06 7.40586190e-06 2.05935575e-07 2.46093034e-07 3.32294928e-02 9.96884784e-03
1.400000 9.73089572e-06 9.49374004e-06 2.37155677e-07 2.85123480e-07 3.00327878e-02 9.00983633e-03
1.450000 1.20802872e-05 1.18669705e-05 2.13316725e-07 2.58127326e-07 2.17517459e-02 6.52552377e-03
1.500000 2.33351013e-05 2.30921873e-05 2.42914065e-07 2.95978746e-07 1.28172677e-02 3.84518031e-03
1.550000 2.26827284e-05 2.24380567e-05 2.44671692e-07 3.00324999e-07 1.33846261e-02 4.01538782e-03
1.600000 2.14383483e-05 2.11936629e-05 2.44685436e-07 3.02712077e-07 1.42831411e-02 4.28494232e-03
1.650000 2.90022456e-05 2.86500905e-05 3.52155068e-07 4.39336522e-07 1.53345596e-02 4.60036789e-03
1.700000 3.36902982e-05 3.32407480e-05 4.49550199e-07 5.65882378e-07 1.70237558e-02 5.10712675e-03
1.750000 3.71585795e-05 3.66480717e-05 5.10507787e-07 6.48774927e-07 1.77028394e-02 5.31085182e-03
1.800000 3.80160812e-05 3.74957482e-05 5.20333034e-07 6.68026139e-07 1.78160504e-02 5.34481511e-03
1.850000 4.06282267e-05 4.01235218e-05 5.04704949e-07 6.55036770e-07 1.63255054e-02 4.89765161e-03
1.900000 4.54581788e-05 4.49586577e-05 4.99521140e-07 6.55864886e-07 1.45881777e-02 4.37645330e-03
1.950000 5.03628188e-05 4.98728166e-05 4.90002147e-07 6.51372836e-07 1.30606787e-02 3.91820362e-03
2.000000 5.53707583e-05 5.48969652e-05 4.73793152e-07 6.38197012e-07 1.16253605e-02 3.48760816e-03
2.050000 6.10622940e-05 6.06376816e-05 4.24612375e-07 5.80073132e-07 9.56621553e-03 2.86986466e-03
2.100000 6.68969553e-05 6.64949025e-05 4.02052852e-07 5.57591602e-07 8.38547891e-03 2.51564367e-03
2.150000 7.28186157e-05 7.24269641e-05 3.91651570e-07 5.51984154e-07 7.62125212e-03 2.28637564e-03
2.200000 7.86883638e-05 7.82959152e-05 3.92448615e-07 5.62715410e-07 7.18703408e-03 2.15611022e-03
2.250000 8.44075432e-05 8.40049653e-05 4.02577867e-07 5.87975465e-07 6.99929418e-03 2.09978825e-03
2.300000 8.99407290e-05 8.95220850e-05 4.18644056e-07 6.23625645e-07 6.96616533e-03 2.08984960e-03
2.350000 9.53339791e-05 9.48968329e-05 4.37146178e-07 6.65102833e-07 7.00869368e-03 2.10260810e-03
2.400000 1.00737960e-04 1.00284758e-04 4.53202130e-07 7.05346635e-07 7.03343808e-03 2.11003142e-03
2.450000 1.06439478e-04 1.05976257e-04 4.63221958e-07 7.38706491e-07 6.97049051e-03 2.09114715e-03
2.500000 1.12885566e-04 1.12422445e-04 4.63121602e-07 7.58121094e-07 6.74350301e-03 2.02305090e-03
