# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 2.24543588e-07 2.24112886e-07 4.30702335e-10 5.89825369e-10 2.63182265e-03 7.89546795e-04
1.200000 7.52762520e-07 7.50635352e-07 2.12716819e-09 2.93700984e-09 3.91269853e-03 1.17380956e-03
1.250000 9.00786897e-07 8.97075129e-07 3.71176781e-09 5.16992798e-09 5.76309365e-03 1.72892810e-03
1.300000 8.49133159e-07 8.44006709e-07 5.12645021e-09 7.20737735e-09 8.53947875e-03 2.56184362e-03
1.350000 1.12299676e-06 1.11465121e-06 8.34555017e-09 1.18507038e-08 1.06317597e-02 3.18952790e-03
1.400000 1.46588672e-06 1.45537856e-06 1.05081539e-08 1.50810820e-08 1.03623088e-02 3.10869263e-03
1.450000 1.86289475e-06 1.85270745e-06 1.01873018e-08 1.47872786e-08 7.98144287e-03 2.39443286e-03
1.500000 3.68352336e-06 3.67115052e-06 1.23728314e-08 1.81780254e-08 4.95158814e-03 1.48547644e-03
1.550000 3.64501069e-06 3.63182953e-06 1.31811529e-08 1.96167110e-08 5.40133032e-03 1.62039910e-03
1.600000 3.50585520e-06 3.49201316e-06 1.38420454e-08 2.08851683e-08 5.98083896e-03 1.79425169e-03
1.650000 4.82527669e-06 4.80449681e-06 2.07798819e-08 3.18156368e-08 6.62205390e-03 1.98661617e-03
1.700000 5.69986685e-06 5.67237888e-06 2.74879647e-08 4.27486556e-08 7.53628354e-03 2.26088506e-03
1.750000 6.39478605e-06 6.36265816e-06 3.21278840e-08 5.08039015e-08 7.98469761e-03 2.39540928e-03
1.800000 6.65539724e-06 6.62193292e-06 3.34643184e-08 5.38664010e-08 8.13454344e-03 2.44036303e-03
1.850000 7.23972452e-06 7.20680344e-06 3.29210768e-08 5.40074449e-08 7.49395282e-03 2.24818584e-03
1.900000 8.24438836e-06 8.21160487e-06 3.27834939e-08 5.48834640e-08 6.68364649e-03 2.00509395e-03
1.950000 9.29367824e-06 9.26158955e-06 3.20886905e-08 5.48975369e-08 5.92744222e-03 1.77823266e-03
2.000000 1.03945032e-05 1.03638042e-05 3.06990629e-08 5.37524625e-08 5.18655715e-03 1.55596714e-03
2.050000 1.16632176e-05 1.16362216e-05 2.69959176e-08 4.84570766e-08 4.16433084e-03 1.24929925e-03
2.100000 1.29940775e-05 1.29691925e-05 2.48849601e-08 4.58730762e-08 3.53708037e-03 1.06112411e-03
2.150000 1.43797867e-05 1.43563546e-05 2.34321937e-08 4.44469453e-08 3.09597713e-03 9.28793138e-04
2.200000 1.57940899e-05 1.57715308e-05 2.25591257e-08 4.41250444e-08 2.79776548e-03 8.39329644e-04
2.250000 1.72174089e-05 1.71952814e-05 2.21274667e-08 4.47347491e-08 2.60157121e-03 7.80471363e-04
