# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 2.34948079e-05 2.21409800e-05 1.35382793e-06 1.44432234e-06 6.52329908e-02 1.95698972e-02
1.200000 7.46232894e-05 7.06206904e-05 4.00259907e-06 4.28022348e-06 6.06086327e-02 1.81825898e-02
1.250000 8.54079835e-05 8.03954625e-05 5.01252096e-06 5.37382220e-06 6.68423568e-02 2.00527071e-02
1.300000 7.74892475e-05 7.20801472e-05 5.40910025e-06 5.81485755e-06 8.06721098e-02 2.42016330e-02
1.350000 9.79960416e-05 9.07557209e-05 7.24032077e-06 7.80636050e-06 8.60150790e-02 2.58045237e-02
1.400000 1.20803487e-04 1.13030684e-04 7.77280374e-06 8.40699916e-06 7.43780263e-02 2.23134079e-02
1.450000 1.43940205e-04 1.37323930e-04 6.61627454e-06 7.18044728e-06 5.22883904e-02 1.56865171e-02
1.500000 2.67078935e-04 2.59836500e-04 7.24243540e-06 7.88871636e-06 3.03603088e-02 9.10809263e-03
1.550000 2.52723576e-04 2.45595793e-04 7.12778377e-06 7.79428709e-06 3.17362403e-02 9.52087210e-03
1.600000 2.32818543e-04 2.25736327e-04 7.08221586e-06 7.77706235e-06 3.44519752e-02 1.03355926e-02
1.650000 3.07341921e-04 2.97047121e-04 1.02948007e-05 1.13559059e-05 3.82293082e-02 1.14687925e-02
1.700000 3.49062934e-04 3.35584451e-04 1.34784831e-05 1.49397836e-05 4.45187004e-02 1.33556101e-02
1.750000 3.76259321e-04 3.60350113e-04 1.59092083e-05 1.77256903e-05 4.91901894e-02 1.47570568e-02
1.800000 3.76198321e-04 3.59163327e-04 1.70349941e-05 1.90857964e-05 5.31396024e-02 1.59418807e-02
1.850000 3.91963815e-04 3.74475326e-04 1.74884887e-05 1.97109731e-05 5.26362398e-02 1.57908719e-02
1.900000 4.27291812e-04 4.08897519e-04 1.83942926e-05 2.08647103e-05 5.10267472e-02 1.53080242e-02
1.950000 4.61259723e-04 4.42070275e-04 1.91894476e-05 2.19161568e-05 4.95761828e-02 1.48728548e-02
2.000000 4.93973908e-04 4.74285243e-04 1.96886647e-05 2.26518777e-05 4.77600306e-02 1.43280092e-02
2.050000 5.29287974e-04 5.10652504e-04 1.86354693e-05 2.16094136e-05 4.23172576e-02 1.26951773e-02
2.100000 5.64375892e-04 5.45861766e-04 1.85141256e-05 2.16503928e-05 3.96627757e-02 1.18988327e-02
2.150000 5.98365276e-04 5.79588674e-04 1.87766018e-05 2.21565738e-05 3.82281000e-02 1.14684300e-02
2.200000 6.30217298e-04 6.10792441e-04 1.94248575e-05 2.31445610e-05 3.78926776e-02 1.13678033e-02
2.250000 6.59253013e-04 6.38853956e-04 2.03990570e-05 2.45589698e-05 3.84422286e-02 1.15326686e-02
2.300000 6.85246078e-04 6.63704935e-04 2.15411433e-05 2.62243044e-05 3.95119924e-02 1.18535977e-02
2.350000 7.08556380e-04 6.85884954e-04 2.26714257e-05 2.79318832e-05 4.07238605e-02 1.22171581e-02
2.400000 7.30173015e-04 7.06638213e-04 2.35348023e-05 2.93694659e-05 4.15622385e-02 1.24686715e-02
2.450000 7.51972147e-04 7.28020698e-04 2.39514492e-05 3.03032195e-05 4.16241181e-02 1.24872354e-02
2.500000 7.76697705e-04 7.52964708e-04 2.37329973e-05 3.04733771e-05 4.04711891e-02 1.21413567e-02
