# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.080000 6.48662937e-06 5.68076685e-06 8.05862518e-07 8.35695422e-07 1.47109615e-01 4.41328844e-02
1.084069 1.21180655e-05 1.06307827e-05 1.48728281e-06 1.54251525e-06 1.45098935e-01 4.35296806e-02
1.088138 1.58048082e-05 1.38935403e-05 1.91126787e-06 1.98247009e-06 1.42690059e-01 4.28070177e-02
1.092206 1.94664346e-05 1.71415481e-05 2.32488656e-06 2.41177263e-06 1.40697481e-01 4.22092442e-02
1.096275 2.36741795e-05 2.08731405e-05 2.80103898e-06 2.90605343e-06 1.39224542e-01 4.17673627e-02
1.100344 2.79822980e-05 2.47010934e-05 3.28120459e-06 3.40461444e-06 1.37832540e-01 4.13497620e-02
1.104413 3.25123111e-05 2.87315280e-05 3.78078304e-06 3.92343904e-06 1.36555182e-01 4.09665546e-02
1.108481 3.72803653e-05 3.29813621e-05 4.29900322e-06 4.46173519e-06 1.35280501e-01 4.05841504e-02
1.112550 4.23345262e-05 3.74945086e-05 4.84001756e-06 5.02382116e-06 1.33988185e-01 4.01964556e-02
1.116619 4.77299929e-05 4.23210086e-05 5.40898434e-06 5.61506148e-06 1.32677875e-01 3.98033625e-02
1.120688 5.35226401e-05 4.75113273e-05 6.01131284e-06 6.24108401e-06 1.31359917e-01 3.94079751e-02
1.124756 5.97621863e-05 5.31103646e-05 6.65182165e-06 6.90690611e-06 1.30048177e-01 3.90144531e-02
1.128825 6.65339362e-05 5.91958960e-05 7.33804020e-06 7.62036286e-06 1.28731270e-01 3.86193809e-02
1.132894 7.38992057e-05 6.58236091e-05 8.07559655e-06 8.38731863e-06 1.27421130e-01 3.82263389e-02
1.136963 8.19532577e-05 7.30803213e-05 8.87293643e-06 9.21656771e-06 1.26115588e-01 3.78346765e-02
1.141032 9.07943611e-05 8.10557016e-05 9.73865942e-06 1.01170688e-05 1.24816251e-01 3.74448753e-02
1.145100 1.00514647e-04 8.98337814e-05 1.06808654e-05 1.10972663e-05 1.23531105e-01 3.70593315e-02
