# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.080000 3.52202170e-08 3.17550944e-08 3.46512260e-09 4.28345898e-09 1.34890450e-01 4.04671351e-02
1.084069 6.60743139e-08 5.96464950e-08 6.42781896e-09 7.94929275e-09 1.33273426e-01 3.99820279e-02
1.088138 8.65455129e-08 7.82430836e-08 8.30242922e-09 1.02721167e-08 1.31284661e-01 3.93853982e-02
1.092206 1.07044713e-07 9.68939216e-08 1.01507914e-08 1.25645123e-08 1.29672864e-01 3.89018592e-02
1.096275 1.30718511e-07 1.18426226e-07 1.22922853e-08 1.52219539e-08 1.28535329e-01 3.85605988e-02
1.100344 1.55139429e-07 1.40666288e-07 1.44731416e-08 1.79305536e-08 1.27468734e-01 3.82406202e-02
1.104413 1.80989813e-07 1.64227736e-07 1.67620769e-08 2.07755679e-08 1.26504623e-01 3.79513869e-02
1.108481 2.08378656e-07 1.89221510e-07 1.91571461e-08 2.37547881e-08 1.25539576e-01 3.76618727e-02
1.112550 2.37593957e-07 2.15915558e-07 2.16783992e-08 2.68932890e-08 1.24554660e-01 3.73663981e-02
1.116619 2.68967941e-07 2.44617135e-07 2.43508064e-08 3.02222996e-08 1.23549397e-01 3.70648192e-02
1.120688 3.02841373e-07 2.75640410e-07 2.72009633e-08 3.37751269e-08 1.22533292e-01 3.67599877e-02
1.124756 3.39524976e-07 3.09271678e-07 3.02532978e-08 3.75824488e-08 1.21519206e-01 3.64557619e-02
1.128825 3.79538581e-07 3.45993481e-07 3.35450994e-08 4.16909882e-08 1.20496456e-01 3.61489367e-02
1.132894 4.23271433e-07 3.86165782e-07 3.71056501e-08 4.61376015e-08 1.19476151e-01 3.58428454e-02
1.136963 4.71314793e-07 4.30336991e-07 4.09778019e-08 5.09761000e-08 1.18456236e-01 3.55368707e-02
1.141032 5.24286246e-07 4.79080295e-07 4.52059510e-08 5.62623226e-08 1.17438190e-01 3.52314569e-02
1.145100 5.82776707e-07 5.32943692e-07 4.98330156e-08 6.20503790e-08 1.16429521e-01 3.49288564e-02
1.149169 6.47596129e-07 5.92674493e-07 5.49216367e-08 6.84190585e-08 1.15441206e-01 3.46323619e-02
1.153238 7.19486189e-07 6.58948642e-07 6.05375465e-08 7.54511609e-08 1.14502339e-01 3.43507018e-02
1.157307 7.99220622e-07 7.32500483e-07 6.67201387e-08 8.31968109e-08 1.13579189e-01 3.40737567e-02
1.161375 8.87565460e-07 8.14072384e-07 7.34930760e-08 9.16866143e-08 1.12627103e-01 3.37881309e-02
1.165444 9.85391557e-07 9.04421921e-07 8.09696359e-08 1.01063101e-07 1.11743312e-01 3.35229936e-02
1.169513 1.09323483e-06 1.00400839e-06 8.92264368e-08 1.11423311e-07 1.10978466e-01 3.32935398e-02
1.173582 1.21139673e-06 1.11319062e-06 9.82061143e-08 1.22697093e-07 1.10221099e-01 3.30663298e-02
1.177650 1.33976587e-06 1.23180821e-06 1.07957655e-07 1.34947111e-07 1.09552046e-01 3.28656139e-02
1.181719 1.47764842e-06 1.35919962e-06 1.18448802e-07 1.48134561e-07 1.08986612e-01 3.26959835e-02
1.185788 1.62314029e-06 1.49360097e-06 1.29539319e-07 1.62085468e-07 1.08519927e-01 3.25559781e-02
1.189857 1.77322403e-06 1.63216971e-06 1.41054315e-07 1.76582139e-07 1.08188589e-01 3.24565768e-02
1.193926 1.92652344e-06 1.77359118e-06 1.52932263e-07 1.91548443e-07 1.08000336e-01 3.24001008e-02
1.197994 2.07761696e-06 1.91288163e-06 1.64735326e-07 2.06436532e-07 1.07919136e-01 3.23757407e-02
1.202063 2.22109769e-06 2.04495805e-06 1.76139643e-07 2.20840351e-07 1.07992607e-01 3.23977822e-02
1.206132 2.35170026e-06 2.16489711e-06 1.86803149e-07 2.34330173e-07 1.08240790e-01 3.24722369e-02
1.210201 2.46438037e-06 2.26804539e-06 1.96334977e-07 2.46414129e-07 1.08646031e-01 3.25938092e-02
1.214269 2.55538137e-06 2.35080340e-06 2.04577972e-07 2.56892794e-07 1.09278723e-01 3.27836170e-02
1.218338 2.62234517e-06 2.41121312e-06 2.11132053e-07 2.65261099e-07 1.10011470e-01 3.30034409e-02
1.222407 2.66445058e-06 2.44933977e-06 2.15110806e-07 2.70401557e-07 1.10397732e-01 3.31193197e-02
1.226476 2.68601442e-06 2.46469127e-06 2.21323155e-07 2.78357294e-07 1.12937997e-01 3.38813990e-02
1.230544 2.68524255e-06 2.46301493e-06 2.22227621e-07 2.79642914e-07 1.13536833e-01 3.40610498e-02
1.234613 2.66859814e-06 2.44604891e-06 2.22549230e-07 2.80196784e-07 1.14550770e-01 3.43652309e-02
1.238682 2.64139048e-06 2.41679708e-06 2.24593400e-07 2.82921893e-07 1.17064811e-01 3.51194433e-02
