# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.080000 9.07032315e-08 8.10625914e-08 9.64064006e-09 1.12185438e-08 1.38393599e-01 4.15180798e-02
1.084069 1.70047548e-07 1.52175129e-07 1.78724187e-08 2.08045400e-08 1.36714456e-01 4.10143369e-02
1.088138 2.22576662e-07 1.99506194e-07 2.30704679e-08 2.68643403e-08 1.34654167e-01 4.03962500e-02
1.092206 2.75110482e-07 2.46921347e-07 2.81891355e-08 3.28357812e-08 1.32980731e-01 3.98942193e-02
1.096275 3.35735981e-07 3.01621070e-07 3.41149109e-08 3.97517714e-08 1.31793748e-01 3.95381244e-02
1.100344 3.98202152e-07 3.58059754e-07 4.01423982e-08 4.67910771e-08 1.30679521e-01 3.92038563e-02
1.104413 4.64257276e-07 4.17795439e-07 4.64618363e-08 5.41756860e-08 1.29670362e-01 3.89011087e-02
1.108481 5.34171740e-07 4.81104493e-07 5.30672469e-08 6.18990194e-08 1.28660240e-01 3.85980719e-02
1.112550 6.08675173e-07 5.48661621e-07 6.00135522e-08 7.00255540e-08 1.27629765e-01 3.82889296e-02
1.116619 6.88608954e-07 6.21239809e-07 6.73691454e-08 7.86355838e-08 1.26578469e-01 3.79735407e-02
1.120688 7.74834554e-07 6.99627817e-07 7.52067368e-08 8.78145606e-08 1.25516108e-01 3.76548324e-02
1.124756 8.68134743e-07 7.84541886e-07 8.35928572e-08 9.76408437e-08 1.24455871e-01 3.73367613e-02
1.128825 9.69823536e-07 8.77194158e-07 9.26293782e-08 1.08234205e-07 1.23386828e-01 3.70160483e-02
1.132894 1.08087921e-06 9.78483399e-07 1.02395806e-07 1.19688450e-07 1.22320369e-01 3.66961106e-02
1.136963 1.20279239e-06 1.08978353e-06 1.13008863e-07 1.32141045e-07 1.21254397e-01 3.63763191e-02
1.141032 1.33711726e-06 1.21252804e-06 1.24589214e-07 1.45734277e-07 1.20190438e-01 3.60571315e-02
1.145100 1.48533655e-06 1.34808342e-06 1.37253138e-07 1.60605515e-07 1.19136185e-01 3.57408554e-02
1.149169 1.64948776e-06 1.49831687e-06 1.51170887e-07 1.76955522e-07 1.18102870e-01 3.54308609e-02
1.153238 1.83143180e-06 1.66491103e-06 1.66520764e-07 1.94994798e-07 1.17120251e-01 3.51360753e-02
1.157307 2.03310033e-06 1.84969214e-06 1.83408196e-07 2.14848797e-07 1.16153814e-01 3.48461443e-02
1.161375 2.25639758e-06 2.05450248e-06 2.01895101e-07 2.36592199e-07 1.15157904e-01 3.45473712e-02
1.165444 2.50350773e-06 2.28121848e-06 2.22289249e-07 2.60588018e-07 1.14231942e-01 3.42695827e-02
1.169513 2.77575737e-06 2.53096036e-06 2.44797009e-07 2.87080925e-07 1.13427666e-01 3.40282997e-02
1.173582 3.07384944e-06 2.80459259e-06 2.69256846e-07 3.15884367e-07 1.12631107e-01 3.37893320e-02
1.177650 3.39746933e-06 3.10167031e-06 2.95799022e-07 3.47153998e-07 1.11924854e-01 3.35774563e-02
1.181719 3.74481939e-06 3.42048840e-06 3.24330989e-07 3.80784141e-07 1.11324494e-01 3.33973482e-02
1.185788 4.11103811e-06 3.75657317e-06 3.54464943e-07 4.16322210e-07 1.10824997e-01 3.32474991e-02
1.189857 4.48846900e-06 4.10274967e-06 3.85719328e-07 4.53204798e-07 1.10463673e-01 3.31391019e-02
1.193926 4.87362131e-06 4.45569766e-06 4.17923645e-07 4.91233267e-07 1.10248339e-01 3.30745017e-02
