# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.080000 1.28354970e-06 1.12841987e-06 1.55129831e-07 1.65000963e-07 1.46223021e-01 4.38669064e-02
1.084069 2.40134084e-06 2.11446743e-06 2.86873413e-07 3.05178414e-07 1.44328737e-01 4.32986212e-02
1.088138 3.13646068e-06 2.76707568e-06 3.69384992e-07 3.93020824e-07 1.42034721e-01 4.26104164e-02
1.092206 3.86867682e-06 3.41846293e-06 4.50213894e-07 4.79102536e-07 1.40151450e-01 4.20454350e-02
1.096275 4.71162792e-06 4.16813467e-06 5.43493251e-07 5.78465482e-07 1.38782820e-01 4.16348459e-02
1.100344 5.57697005e-06 4.93905249e-06 6.37917559e-07 6.79081699e-07 1.37492303e-01 4.12476908e-02
1.104413 6.48903759e-06 5.75254640e-06 7.36491187e-07 7.84150932e-07 1.36313708e-01 4.08941125e-02
1.108481 7.45126141e-06 6.61217563e-06 8.39085785e-07 8.93539127e-07 1.35135419e-01 4.05406258e-02
1.112550 8.47347206e-06 7.52693743e-06 9.46534628e-07 1.00813638e-06 1.33937128e-01 4.01811383e-02
1.116619 9.56698291e-06 8.50710855e-06 1.05987437e-06 1.12905008e-06 1.32718429e-01 3.98155287e-02
1.120688 1.07433043e-05 9.56310558e-06 1.18019874e-06 1.25744927e-06 1.31489636e-01 3.94468908e-02
1.124756 1.20127721e-05 1.07042787e-05 1.30849348e-06 1.39438876e-06 1.30264617e-01 3.90793850e-02
1.128825 1.33929482e-05 1.19466623e-05 1.44628585e-06 1.54150134e-06 1.29031967e-01 3.87095900e-02
1.132894 1.48966519e-05 1.33019128e-05 1.59473904e-06 1.70003292e-06 1.27803643e-01 3.83410929e-02
1.136963 1.65436297e-05 1.47880475e-05 1.75558216e-06 1.87183379e-06 1.26577480e-01 3.79732440e-02
1.141032 1.83543451e-05 1.64237575e-05 1.93058755e-06 2.05880173e-06 1.25355098e-01 3.76065294e-02
1.145100 2.03481310e-05 1.82266898e-05 2.12144120e-06 2.26274394e-06 1.24144536e-01 3.72433607e-02
1.149169 2.25517618e-05 2.02211182e-05 2.33064360e-06 2.48633792e-06 1.22957489e-01 3.68872468e-02
