# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.983266 1.18721662e-04 1.02876382e-04 1.58452794e-05 1.98072150e-05 1.92534132e-01 5.77602397e-02
1.987335 1.19490884e-04 1.03634396e-04 1.58564879e-05 1.98385380e-05 1.91428124e-01 5.74284371e-02
1.991404 1.20259548e-04 1.04398947e-04 1.58606007e-05 1.98611091e-05 1.90242428e-01 5.70727283e-02
1.995473 1.21027630e-04 1.05170638e-04 1.58569923e-05 1.98741218e-05 1.88970250e-01 5.66910751e-02
1.999542 1.21795116e-04 1.05950082e-04 1.58450342e-05 1.98767629e-05 1.87604979e-01 5.62814937e-02
2.003610 1.22561995e-04 1.06737900e-04 1.58240953e-05 1.98682124e-05 1.86140185e-01 5.58420555e-02
2.007679 1.23328265e-04 1.07534724e-04 1.57935413e-05 1.98476439e-05 1.84569626e-01 5.53708879e-02
2.011748 1.24093931e-04 1.08341195e-04 1.57527355e-05 1.98142236e-05 1.82887253e-01 5.48661760e-02
2.015817 1.24859002e-04 1.09157964e-04 1.57010378e-05 1.97671113e-05 1.81087212e-01 5.43261635e-02
2.019885 1.25623496e-04 1.09985690e-04 1.56378058e-05 1.97054595e-05 1.79163848e-01 5.37491545e-02
2.023954 1.26387439e-04 1.10825045e-04 1.55623939e-05 1.96284139e-05 1.77111716e-01 5.31335149e-02
2.028023 1.27150861e-04 1.11676708e-04 1.54741538e-05 1.95351129e-05 1.74925581e-01 5.24776742e-02
2.032092 1.27913803e-04 1.12541369e-04 1.53724344e-05 1.94246880e-05 1.72600424e-01 5.17801272e-02
2.036160 1.28676311e-04 1.13419729e-04 1.52565816e-05 1.92962632e-05 1.70131452e-01 5.10394356e-02
2.040229 1.29438437e-04 1.14312498e-04 1.51259387e-05 1.91489553e-05 1.67514100e-01 5.02542300e-02
2.044298 1.30194055e-04 1.15220398e-04 1.49736572e-05 1.89740314e-05 1.64675975e-01 4.94027926e-02
2.048367 1.30967896e-04 1.16144158e-04 1.48237376e-05 1.88018530e-05 1.61883760e-01 4.85651280e-02
2.052436 1.31761614e-04 1.17024566e-04 1.47370482e-05 1.87097024e-05 1.59878418e-01 4.79635253e-02
2.056504 1.32572134e-04 1.17878868e-04 1.46932657e-05 1.86719811e-05 1.58399732e-01 4.75199195e-02
2.060573 1.33393307e-04 1.18733163e-04 1.46601443e-05 1.86478286e-05 1.57056615e-01 4.71169844e-02
2.064642 1.34217362e-04 1.19589632e-04 1.46277300e-05 1.86246100e-05 1.55737665e-01 4.67212994e-02
2.068711 1.35043585e-04 1.20448087e-04 1.45954979e-05 1.86016592e-05 1.54437148e-01 4.63311445e-02
2.072779 1.35872469e-04 1.21308336e-04 1.45641330e-05 1.85798509e-05 1.53162194e-01 4.59486582e-02
2.076848 1.36703900e-04 1.22170183e-04 1.45337169e-05 1.85592927e-05 1.51913439e-01 4.55740318e-02
2.080917 1.37537761e-04 1.23033430e-04 1.45043314e-05 1.85400928e-05 1.50691506e-01 4.52074517e-02
2.084986 1.38373932e-04 1.23897873e-04 1.44760584e-05 1.85223601e-05 1.49496998e-01 4.48490993e-02
2.089054 1.39212290e-04 1.24763310e-04 1.44489804e-05 1.85062047e-05 1.48330505e-01 4.44991515e-02
2.093123 1.40052664e-04 1.25629530e-04 1.44231339e-05 1.84916782e-05 1.47192131e-01 4.41576392e-02
2.097192 1.40895033e-04 1.26496323e-04 1.43987107e-05 1.84790317e-05 1.46083549e-01 4.38250647e-02
2.101261 1.41739163e-04 1.27362602e-04 1.43765613e-05 1.84693640e-05 1.45014028e-01 4.35042085e-02
2.105330 1.42584698e-04 1.28228096e-04 1.43566019e-05 1.84625764e-05 1.43982301e-01 4.31946903e-02
2.109398 1.43431793e-04 1.29093365e-04 1.43384288e-05 1.84581581e-05 1.42983012e-01 4.28949036e-02
