1.080000 1.67054349e-10
1.082636 2.45386712e-10
1.085272 3.27236338e-10
1.087908 4.12604460e-10
1.090544 5.01004460e-10
1.093181 5.90987638e-10
1.095817 6.84390685e-10
1.098453 7.81216283e-10
1.101089 8.85063526e-10
1.103725 9.97700338e-10
1.106361 1.11412452e-09
1.108997 1.23434047e-09
1.111633 1.36824243e-09
1.114269 1.51250634e-09
1.116905 1.66118045e-09
1.119542 1.81427138e-09
1.122178 1.99239847e-09
1.124814 2.18009833e-09
1.127450 2.37311694e-09
1.130086 2.57266811e-09
1.132722 2.81392203e-09
1.135358 3.06176482e-09
1.137994 3.31620961e-09
1.140630 3.59022572e-09
1.143266 3.91315392e-09
1.145903 4.24443993e-09
1.148539 4.58410255e-09
1.151175 4.96625579e-09
1.153811 5.40088638e-09
1.156447 5.84624199e-09
1.159083 6.30234929e-09
1.161719 6.81716538e-09
1.164355 7.37007179e-09
1.166991 7.97855224e-09
1.169628 8.61516915e-09
1.172264 9.31698165e-09
1.174900 1.00432066e-08
1.177536 1.08413427e-08
1.180172 1.16626603e-08
1.182808 1.25483330e-08
1.185444 1.34021762e-08
1.188080 1.40277151e-08
1.190716 1.47706429e-08
1.193352 1.57794755e-08
1.195989 1.67949392e-08
1.198625 1.78074327e-08
1.201261 1.87999291e-08
1.203897 1.97675309e-08
1.206533 2.06814164e-08
1.209169 2.15593198e-08
1.211805 2.23704222e-08
1.214441 2.31199080e-08
1.217077 2.37638707e-08
1.219713 2.43412886e-08
1.222350 2.47554896e-08
1.224986 2.51535847e-08
1.227622 2.54479191e-08
1.230258 2.57094993e-08
1.232894 2.58569486e-08
1.235530 2.59902866e-08
1.238166 2.60768436e-08
1.240802 2.61433517e-08
1.243438 2.61710713e-08
1.246074 2.61909844e-08
1.248711 2.62031015e-08
1.251347 2.62470621e-08
1.253983 2.63204111e-08
1.256619 2.63849808e-08
1.259255 2.64408004e-08
1.261891 2.66153024e-08
1.264527 2.68310304e-08
1.267163 2.70378114e-08
1.269799 2.72357080e-08
1.272436 2.76400110e-08
1.275072 2.80530756e-08
1.277708 2.84572744e-08
1.280344 2.88941108e-08
1.282980 2.95974420e-08
1.285616 3.02907717e-08
1.288252 3.09742695e-08
1.290888 3.17708086e-08
1.293524 3.27976971e-08
1.296160 3.38129117e-08
1.298797 3.48166950e-08
1.301433 3.60285501e-08
1.304069 3.74110933e-08
1.306705 3.87797051e-08
1.309341 4.01347080e-08
1.311977 4.18324750e-08
1.314613 4.36317292e-08
1.317249 4.54135984e-08
1.319885 4.71785011e-08
1.322521 4.94347256e-08
1.325158 5.16918190e-08
1.327794 5.39270930e-08
1.330430 5.62365942e-08
1.333066 5.90110783e-08
1.335702 6.17575216e-08
1.338338 6.44765758e-08
1.340974 6.73791886e-08
1.343610 7.06085158e-08
1.346246 7.38038109e-08
1.348883 7.69658343e-08
1.351519 8.03868035e-08
1.354155 8.39834121e-08
1.356791 8.75401311e-08
1.359427 9.10578111e-08
1.362063 9.48128717e-08
1.364699 9.85999712e-08
1.367335 1.02342597e-07
1.369971 1.06041650e-07
1.372607 1.09842327e-07
1.375244 1.13596827e-07
1.377880 1.17304449e-07
1.380516 1.20943798e-07
1.383152 1.24445033e-07
1.385788 1.27899755e-07
1.388424 1.31308814e-07
1.391060 1.34550229e-07
1.393696 1.37566181e-07
1.396332 1.40540471e-07
1.398968 1.43473835e-07
1.401605 1.46141272e-07
1.404241 1.48627848e-07
1.406877 1.51080204e-07
1.409513 1.53498946e-07
