 Q**2=      1.69 GeV**2
 x times the labelled pdf
      x         u           d           g          ub          db          sb           s          cb           c          bb           b
     0.950   0.544E-03   0.605E-05   0.160E-06   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.774E-11   0.774E-11   0.000E+00   0.000E+00
 Q**2=      5.29 GeV**2
 x times the labelled pdf
      x         u           d           g          ub          db          sb           s          cb           c          bb           b
     0.050   0.501E+00   0.409E+00   0.212E+01   0.160E+00   0.173E+00   0.836E-01   0.836E-01   0.282E-01   0.282E-01   0.000E+00   0.000E+00
     0.100   0.573E+00   0.404E+00   0.141E+01   0.987E-01   0.123E+00   0.542E-01   0.542E-01   0.164E-01   0.164E-01   0.000E+00   0.000E+00
     0.150   0.617E+00   0.380E+00   0.975E+00   0.639E-01   0.901E-01   0.367E-01   0.367E-01   0.992E-02   0.992E-02   0.000E+00   0.000E+00
     0.200   0.632E+00   0.345E+00   0.670E+00   0.446E-01   0.632E-01   0.252E-01   0.252E-01   0.600E-02   0.600E-02   0.000E+00   0.000E+00
     0.250   0.619E+00   0.304E+00   0.451E+00   0.326E-01   0.426E-01   0.172E-01   0.172E-01   0.357E-02   0.357E-02   0.000E+00   0.000E+00
     0.300   0.582E+00   0.260E+00   0.294E+00   0.238E-01   0.280E-01   0.116E-01   0.116E-01   0.206E-02   0.206E-02   0.000E+00   0.000E+00
     0.350   0.526E+00   0.214E+00   0.186E+00   0.168E-01   0.182E-01   0.768E-02   0.768E-02   0.115E-02   0.115E-02   0.000E+00   0.000E+00
     0.400   0.459E+00   0.170E+00   0.113E+00   0.113E-01   0.117E-01   0.497E-02   0.497E-02   0.618E-03   0.618E-03   0.000E+00   0.000E+00
     0.450   0.387E+00   0.128E+00   0.655E-01   0.727E-02   0.734E-02   0.311E-02   0.311E-02   0.315E-03   0.315E-03   0.000E+00   0.000E+00
     0.500   0.313E+00   0.916E-01   0.361E-01   0.443E-02   0.444E-02   0.187E-02   0.187E-02   0.151E-03   0.151E-03   0.000E+00   0.000E+00
     0.550   0.244E+00   0.615E-01   0.187E-01   0.253E-02   0.253E-02   0.105E-02   0.105E-02   0.675E-04   0.675E-04   0.000E+00   0.000E+00
     0.600   0.180E+00   0.382E-01   0.903E-02   0.132E-02   0.132E-02   0.544E-03   0.544E-03   0.276E-04   0.276E-04   0.000E+00   0.000E+00
     0.650   0.126E+00   0.217E-01   0.400E-02   0.597E-03   0.597E-03   0.245E-03   0.245E-03   0.102E-04   0.102E-04   0.000E+00   0.000E+00
     0.700   0.817E-01   0.110E-01   0.159E-02   0.207E-03   0.207E-03   0.847E-04   0.847E-04   0.327E-05   0.327E-05   0.000E+00   0.000E+00
     0.750   0.481E-01   0.475E-02   0.555E-03   0.269E-04   0.269E-04   0.112E-04   0.112E-04   0.882E-06   0.882E-06   0.000E+00   0.000E+00
     0.800   0.246E-01   0.166E-02   0.162E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.187E-06   0.187E-06   0.000E+00   0.000E+00
     0.850   0.101E-01   0.434E-03   0.363E-04   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.278E-07   0.278E-07   0.000E+00   0.000E+00
     0.900   0.282E-02   0.658E-04   0.504E-05   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.222E-08   0.222E-08   0.000E+00   0.000E+00
     0.950   0.298E-03   0.319E-05   0.199E-06   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.427E-10   0.427E-10   0.000E+00   0.000E+00
 Q**2=      9.00 GeV**2
 x times the labelled pdf
      x         u           d           g          ub          db          sb           s          cb           c          bb           b
     0.050   0.516E+00   0.417E+00   0.223E+01   0.165E+00   0.179E+00   0.918E-01   0.918E-01   0.382E-01   0.382E-01   0.000E+00   0.000E+00
     0.100   0.578E+00   0.402E+00   0.138E+01   0.993E-01   0.123E+00   0.573E-01   0.573E-01   0.213E-01   0.213E-01   0.000E+00   0.000E+00
     0.150   0.611E+00   0.371E+00   0.906E+00   0.633E-01   0.879E-01   0.377E-01   0.377E-01   0.125E-01   0.125E-01   0.000E+00   0.000E+00
     0.200   0.616E+00   0.332E+00   0.599E+00   0.435E-01   0.604E-01   0.252E-01   0.252E-01   0.739E-02   0.739E-02   0.000E+00   0.000E+00
     0.250   0.595E+00   0.288E+00   0.390E+00   0.312E-01   0.400E-01   0.168E-01   0.168E-01   0.431E-02   0.431E-02   0.000E+00   0.000E+00
     0.300   0.551E+00   0.243E+00   0.248E+00   0.223E-01   0.259E-01   0.111E-01   0.111E-01   0.245E-02   0.245E-02   0.000E+00   0.000E+00
     0.350   0.492E+00   0.197E+00   0.153E+00   0.154E-01   0.166E-01   0.721E-02   0.721E-02   0.135E-02   0.135E-02   0.000E+00   0.000E+00
     0.400   0.424E+00   0.154E+00   0.909E-01   0.102E-01   0.105E-01   0.458E-02   0.458E-02   0.710E-03   0.710E-03   0.000E+00   0.000E+00
     0.450   0.353E+00   0.115E+00   0.519E-01   0.646E-02   0.652E-02   0.281E-02   0.281E-02   0.357E-03   0.357E-03   0.000E+00   0.000E+00
     0.500   0.282E+00   0.807E-01   0.282E-01   0.387E-02   0.388E-02   0.165E-02   0.165E-02   0.169E-03   0.169E-03   0.000E+00   0.000E+00
     0.550   0.216E+00   0.534E-01   0.145E-01   0.217E-02   0.217E-02   0.914E-03   0.914E-03   0.750E-04   0.750E-04   0.000E+00   0.000E+00
     0.600   0.158E+00   0.327E-01   0.696E-02   0.111E-02   0.111E-02   0.463E-03   0.463E-03   0.305E-04   0.305E-04   0.000E+00   0.000E+00
     0.650   0.109E+00   0.183E-01   0.310E-02   0.491E-03   0.491E-03   0.203E-03   0.203E-03   0.112E-04   0.112E-04   0.000E+00   0.000E+00
     0.700   0.694E-01   0.907E-02   0.125E-02   0.163E-03   0.163E-03   0.673E-04   0.673E-04   0.362E-05   0.362E-05   0.000E+00   0.000E+00
     0.750   0.401E-01   0.385E-02   0.445E-03   0.176E-04   0.176E-04   0.754E-05   0.754E-05   0.985E-06   0.985E-06   0.000E+00   0.000E+00
     0.800   0.201E-01   0.132E-02   0.134E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.213E-06   0.213E-06   0.000E+00   0.000E+00
     0.850   0.806E-02   0.336E-03   0.309E-04   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.327E-07   0.327E-07   0.000E+00   0.000E+00
     0.900   0.216E-02   0.492E-04   0.434E-05   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.268E-08   0.268E-08   0.000E+00   0.000E+00
     0.950   0.216E-03   0.226E-05   0.165E-06   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.531E-10   0.531E-10   0.000E+00   0.000E+00
