     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     9.699     0.050   0.517E+00   0.418E+00   0.224E+01   0.166E+00   0.179E+00   0.928E-01   0.928E-01   0.395E-01   0.395E-01   0.000E+00   0.000E+00
     9.699     0.100   0.578E+00   0.401E+00   0.137E+01   0.993E-01   0.123E+00   0.576E-01   0.576E-01   0.218E-01   0.218E-01   0.000E+00   0.000E+00
     9.699     0.150   0.610E+00   0.370E+00   0.896E+00   0.632E-01   0.876E-01   0.378E-01   0.378E-01   0.128E-01   0.128E-01   0.000E+00   0.000E+00
     9.699     0.200   0.614E+00   0.330E+00   0.590E+00   0.433E-01   0.600E-01   0.252E-01   0.252E-01   0.754E-02   0.754E-02   0.000E+00   0.000E+00
     9.699     0.250   0.592E+00   0.286E+00   0.383E+00   0.310E-01   0.397E-01   0.168E-01   0.168E-01   0.438E-02   0.438E-02   0.000E+00   0.000E+00
     9.699     0.300   0.547E+00   0.240E+00   0.242E+00   0.221E-01   0.256E-01   0.110E-01   0.110E-01   0.248E-02   0.248E-02   0.000E+00   0.000E+00
     9.699     0.350   0.488E+00   0.195E+00   0.149E+00   0.153E-01   0.164E-01   0.715E-02   0.715E-02   0.136E-02   0.136E-02   0.000E+00   0.000E+00
     9.699     0.400   0.420E+00   0.152E+00   0.885E-01   0.101E-01   0.104E-01   0.452E-02   0.452E-02   0.718E-03   0.718E-03   0.000E+00   0.000E+00
     9.699     0.450   0.348E+00   0.113E+00   0.504E-01   0.636E-02   0.642E-02   0.277E-02   0.277E-02   0.360E-03   0.360E-03   0.000E+00   0.000E+00
     9.699     0.500   0.278E+00   0.794E-01   0.273E-01   0.381E-02   0.381E-02   0.163E-02   0.163E-02   0.171E-03   0.171E-03   0.000E+00   0.000E+00
     9.699     0.550   0.213E+00   0.524E-01   0.140E-01   0.213E-02   0.213E-02   0.898E-03   0.898E-03   0.755E-04   0.755E-04   0.000E+00   0.000E+00
     9.699     0.600   0.155E+00   0.320E-01   0.675E-02   0.109E-02   0.109E-02   0.453E-03   0.453E-03   0.307E-04   0.307E-04   0.000E+00   0.000E+00
     9.699     0.650   0.107E+00   0.179E-01   0.300E-02   0.478E-03   0.478E-03   0.198E-03   0.198E-03   0.113E-04   0.113E-04   0.000E+00   0.000E+00
     9.699     0.700   0.679E-01   0.885E-02   0.121E-02   0.158E-03   0.158E-03   0.653E-04   0.653E-04   0.364E-05   0.364E-05   0.000E+00   0.000E+00
     9.699     0.750   0.391E-01   0.375E-02   0.433E-03   0.166E-04   0.166E-04   0.715E-05   0.715E-05   0.992E-06   0.992E-06   0.000E+00   0.000E+00
     9.699     0.800   0.195E-01   0.128E-02   0.131E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.215E-06   0.215E-06   0.000E+00   0.000E+00
     9.699     0.850   0.782E-02   0.325E-03   0.302E-04   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.331E-07   0.331E-07   0.000E+00   0.000E+00
     9.699     0.900   0.209E-02   0.475E-04   0.424E-05   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.272E-08   0.272E-08   0.000E+00   0.000E+00
     9.699     0.950   0.207E-03   0.217E-05   0.160E-06   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.539E-10   0.539E-10   0.000E+00   0.000E+00

