# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.080000 1.13086447e-08 1.13086433e-08 1.40735639e-15 1.90701278e-15 1.68633207e-07 5.05899621e-08
1.084069 2.12922838e-08 2.12892440e-08 3.03983908e-12 4.12150223e-12 1.93595518e-04 5.80786555e-05
1.088138 2.79974427e-08 2.79896185e-08 7.82420471e-12 1.06145600e-11 3.79232037e-04 1.13769611e-04
1.092206 3.47535716e-08 3.47392708e-08 1.43007914e-11 1.94124406e-11 5.58803917e-04 1.67641175e-04
1.096275 4.25772273e-08 4.25542136e-08 2.30137229e-11 3.12583934e-11 7.34554601e-04 2.20366380e-04
1.100344 5.06922829e-08 5.06585244e-08 3.37585555e-11 4.58801441e-11 9.05674705e-04 2.71702411e-04
1.104413 5.93221065e-08 5.92753458e-08 4.67606700e-11 6.35893275e-11 1.07277868e-03 3.21833605e-04
1.108481 6.85100777e-08 6.84479377e-08 6.21399460e-11 8.45548292e-11 1.23531595e-03 3.70594785e-04
1.112550 7.83569179e-08 7.82768264e-08 8.00915362e-11 1.09048492e-10 1.39311335e-03 4.17934005e-04
1.116619 8.89785292e-08 8.88776649e-08 1.00864327e-10 1.37416092e-10 1.54612626e-03 4.63837878e-04
1.120688 1.00494348e-07 1.00369592e-07 1.24755990e-10 1.70070830e-10 1.69444577e-03 5.08333730e-04
1.124756 1.13014657e-07 1.12862561e-07 1.52096540e-10 2.07471125e-10 1.83826349e-03 5.51479047e-04
1.128825 1.26722517e-07 1.26539192e-07 1.83324676e-10 2.50224964e-10 1.97745031e-03 5.93235093e-04
1.132894 1.41757584e-07 1.41538692e-07 2.18891570e-10 2.98958991e-10 2.11220682e-03 6.33662046e-04
1.136963 1.58329987e-07 1.58070608e-07 2.59378705e-10 3.54479616e-10 2.24253971e-03 6.72761913e-04
1.141032 1.76660764e-07 1.76355320e-07 3.05444293e-10 4.17700342e-10 2.36851569e-03 7.10554706e-04
1.145100 1.96963500e-07 1.96605697e-07 3.57803007e-10 4.89614393e-10 2.49033675e-03 7.47101026e-04
1.149169 2.19527372e-07 2.19109990e-07 4.17382021e-10 5.71508661e-10 2.60831860e-03 7.82495579e-04
