# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.080000 2.94584950e-06 2.69188029e-06 2.53969211e-07 2.66209172e-07 9.88933917e-02 2.96680175e-02
1.084069 5.51313531e-06 5.04295241e-06 4.70182894e-07 4.92910317e-07 9.77424089e-02 2.93227227e-02
1.088138 7.20387696e-06 6.59783595e-06 6.06041016e-07 6.35422555e-07 9.63077227e-02 2.88923168e-02
1.092206 8.88836384e-06 8.14902564e-06 7.39338202e-07 7.75289081e-07 9.51388687e-02 2.85416606e-02
1.096275 1.08268979e-05 9.93364411e-06 8.93253786e-07 9.36818994e-07 9.43076865e-02 2.82923059e-02
1.100344 1.28171297e-05 1.17679342e-05 1.04919553e-06 1.10052002e-06 9.35185397e-02 2.80555619e-02
1.104413 1.49146986e-05 1.37026361e-05 1.21206253e-06 1.27153298e-06 9.27947708e-02 2.78384312e-02
1.108481 1.71277194e-05 1.57461154e-05 1.38160398e-06 1.44959826e-06 9.20606906e-02 2.76182072e-02
1.112550 1.94788195e-05 1.79196716e-05 1.55914789e-06 1.63611292e-06 9.13026173e-02 2.73907852e-02
1.116619 2.19939761e-05 2.02476219e-05 1.74635422e-06 1.83282322e-06 9.05204193e-02 2.71561258e-02
1.120688 2.46995568e-05 2.27545842e-05 1.94497260e-06 2.04157064e-06 8.97212895e-02 2.69163868e-02
1.124756 2.76191744e-05 2.54626060e-05 2.15656841e-06 2.26400430e-06 8.89148698e-02 2.66744609e-02
1.128825 3.07931894e-05 2.84095981e-05 2.38359125e-06 2.50270282e-06 8.80935665e-02 2.64280700e-02
1.132894 3.42508906e-05 3.16230104e-05 2.62788024e-06 2.75960530e-06 8.72657367e-02 2.61797210e-02
1.136963 3.80375624e-05 3.51453684e-05 2.89219402e-06 3.03761784e-06 8.64301039e-02 2.59290312e-02
1.141032 4.22000827e-05 3.90207366e-05 3.17934610e-06 3.33970605e-06 8.55879807e-02 2.56763942e-02
