# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.080000 3.14944865e-08 3.13434743e-08 1.51012207e-10 1.86675817e-10 5.95581125e-03 1.78674338e-03
1.084069 5.92566671e-08 5.89637691e-08 2.92898027e-10 3.62227402e-10 6.14321993e-03 1.84296598e-03
1.088138 7.78604594e-08 7.74658009e-08 3.94658548e-10 4.88288253e-10 6.30327510e-03 1.89098253e-03
1.092206 9.65797545e-08 9.60774461e-08 5.02308417e-10 6.21750567e-10 6.47134777e-03 1.94140433e-03
1.096275 1.18238346e-07 1.17606336e-07 6.32009194e-10 7.82638431e-10 6.65473014e-03 1.99641904e-03
1.100344 1.40675044e-07 1.39903242e-07 7.71801604e-10 9.56173192e-10 6.83453205e-03 2.05035962e-03
1.104413 1.64507808e-07 1.63582231e-07 9.25577195e-10 1.14719626e-09 7.01296376e-03 2.10388913e-03
1.108481 1.89853233e-07 1.88759532e-07 1.09370119e-09 1.35618530e-09 7.18472487e-03 2.15541746e-03
1.112550 2.16986642e-07 2.15708836e-07 1.27780547e-09 1.58519046e-09 7.34875071e-03 2.20462521e-03
1.116619 2.46224644e-07 2.44744692e-07 1.47995228e-09 1.83680000e-09 7.50496361e-03 2.25148908e-03
1.120688 2.77892784e-07 2.76190316e-07 1.70246802e-09 2.11393519e-09 7.65390773e-03 2.29617232e-03
1.124756 3.12290426e-07 3.10342718e-07 1.94770778e-09 2.41955864e-09 7.79640862e-03 2.33892259e-03
1.128825 3.49916729e-07 3.47697704e-07 2.21902412e-09 2.75787849e-09 7.93182830e-03 2.37954849e-03
1.132894 3.91149880e-07 3.88630423e-07 2.51945644e-09 3.13272175e-09 8.06092772e-03 2.41827832e-03
1.136963 4.36561063e-07 4.33707907e-07 2.85315527e-09 3.54930527e-09 8.18363054e-03 2.45508916e-03
1.141032 4.86749856e-07 4.83525224e-07 3.22463251e-09 4.01330600e-09 8.30009646e-03 2.49002894e-03
1.145100 5.42293650e-07 5.38655107e-07 3.63854290e-09 4.53059007e-09 8.41092939e-03 2.52327882e-03
1.149169 6.03976217e-07 5.99874973e-07 4.10124337e-09 5.10915601e-09 8.51703478e-03 2.55511043e-03
1.153238 6.72513616e-07 6.67893942e-07 4.61967360e-09 5.75774468e-09 8.62074697e-03 2.58622409e-03
1.157307 7.48683057e-07 7.43483986e-07 5.19907096e-09 6.48299197e-09 8.71974662e-03 2.61592398e-03
1.161375 8.33272682e-07 8.27429095e-07 5.84358681e-09 7.29019276e-09 8.81065556e-03 2.64319667e-03
1.165444 9.27097272e-07 9.20532580e-07 6.56469242e-09 8.19378976e-09 8.90114042e-03 2.67034213e-03
1.169513 1.03066904e-06 1.02329761e-06 7.37142786e-09 9.20521910e-09 8.99564212e-03 2.69869264e-03
1.173582 1.14438887e-06 1.13612697e-06 8.26190548e-09 1.03222879e-08 9.08550562e-03 2.72565169e-03
1.177650 1.26813720e-06 1.25889434e-06 9.24286671e-09 1.15535870e-08 9.17756690e-03 2.75327007e-03
1.181719 1.40127332e-06 1.39095919e-06 1.03141358e-08 1.28990750e-08 9.27351074e-03 2.78205322e-03
1.185788 1.54201295e-06 1.53054730e-06 1.14656541e-08 1.43463461e-08 9.37334384e-03 2.81200315e-03
1.189857 1.68745090e-06 1.67476758e-06 1.26833196e-08 1.58779098e-08 9.48066468e-03 2.84419941e-03
1.193926 1.83624525e-06 1.82228295e-06 1.39622973e-08 1.74878489e-08 9.59667043e-03 2.87900113e-03
1.197994 1.98323674e-06 1.96797428e-06 1.52624646e-08 1.91260147e-08 9.71863043e-03 2.91558913e-03
1.202063 2.12314526e-06 2.10659325e-06 1.65520117e-08 2.07525803e-08 9.85125168e-03 2.95537550e-03
1.206132 2.25082498e-06 2.23302926e-06 1.77957126e-08 2.23233518e-08 9.99689174e-03 2.99906752e-03
1.210201 2.36137666e-06 2.34242471e-06 1.89519528e-08 2.37860265e-08 1.01544466e-02 3.04633397e-03
1.214269 2.45098805e-06 2.43098790e-06 2.00001522e-08 2.51146051e-08 1.03310284e-02 3.09930853e-03
1.218338 2.51750390e-06 2.49660877e-06 2.08951220e-08 2.62521154e-08 1.05151098e-02 3.15453295e-03
1.222407 2.56080689e-06 2.53926557e-06 2.15413183e-08 2.70781655e-08 1.06637784e-02 3.19913353e-03
1.226476 2.58077582e-06 2.55835953e-06 2.24162920e-08 2.81928856e-08 1.10199076e-02 3.30597228e-03
1.230544 2.58252983e-06 2.55977499e-06 2.27548358e-08 2.86338331e-08 1.11860742e-02 3.35582227e-03
1.234613 2.56828298e-06 2.54525497e-06 2.30280131e-08 2.89930243e-08 1.13910098e-02 3.41730294e-03
1.238682 2.54134562e-06 2.51787082e-06 2.34747996e-08 2.95713710e-08 1.17445942e-02 3.52337825e-03
1.242751 2.50701440e-06 2.48329250e-06 2.37219010e-08 2.98987355e-08 1.20399572e-02 3.61198717e-03
1.246819 2.46799119e-06 2.44405162e-06 2.39395724e-08 3.01894182e-08 1.23522015e-02 3.70566046e-03
1.250888 2.42706978e-06 2.40292209e-06 2.41476804e-08 3.04684289e-08 1.26797406e-02 3.80392219e-03
1.254957 2.38740149e-06 2.36302877e-06 2.43727173e-08 3.07691960e-08 1.30210840e-02 3.90632519e-03
1.259026 2.34980987e-06 2.32518927e-06 2.46206025e-08 3.10992348e-08 1.33749262e-02 4.01247785e-03
1.263095 2.31633380e-06 2.29142661e-06 2.49071912e-08 3.14786350e-08 1.37375707e-02 4.12127120e-03
1.267163 2.28773782e-06 2.26249585e-06 2.52419702e-08 3.19194782e-08 1.41080826e-02 4.23242477e-03
1.271232 2.26451239e-06 2.23887853e-06 2.56338618e-08 3.24331597e-08 1.44863419e-02 4.34590256e-03
1.275301 2.24743085e-06 2.22133760e-06 2.60932425e-08 3.30329423e-08 1.48707438e-02 4.46122313e-03
1.279370 2.23643624e-06 2.20981705e-06 2.66191893e-08 3.37178073e-08 1.52581895e-02 4.57745685e-03
1.283438 2.23186628e-06 2.20465112e-06 2.72151626e-08 3.44922904e-08 1.56452375e-02 4.69357126e-03
1.287507 2.23369855e-06 2.20581529e-06 2.78832550e-08 3.53592048e-08 1.60299935e-02 4.80899805e-03
