# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 5.20285419e-05 4.73910491e-05 4.63749286e-06 4.87301586e-06 1.02825659e-01 3.08476978e-02
1.200000 1.62646781e-04 1.48768705e-04 1.38780754e-05 1.46111862e-05 9.82141112e-02 2.94642334e-02
1.250000 1.84812991e-04 1.66846644e-04 1.79663468e-05 1.89550735e-05 1.13607760e-01 3.40823280e-02
1.300000 1.67989181e-04 1.47520597e-04 2.04685837e-05 2.16438949e-05 1.46717782e-01 4.40153346e-02
1.350000 2.12838559e-04 1.83361019e-04 2.94775397e-05 3.12462753e-05 1.70408495e-01 5.11225484e-02
1.400000 2.60203531e-04 2.25660124e-04 3.45434073e-05 3.67125404e-05 1.62689534e-01 4.88068602e-02
1.450000 3.03524061e-04 2.71163798e-04 3.23602622e-05 3.44899165e-05 1.27192187e-01 3.81576560e-02
1.500000 5.46921977e-04 5.07899022e-04 3.90229546e-05 4.17182318e-05 8.21388308e-02 2.46416492e-02
1.550000 5.17617955e-04 4.75567517e-04 4.20504381e-05 4.51027809e-05 9.48399108e-02 2.84519733e-02
1.600000 4.78488069e-04 4.33295380e-04 4.51926893e-05 4.86448156e-05 1.12267100e-01 3.36801299e-02
1.650000 6.35381263e-04 5.65498544e-04 6.98827188e-05 7.55074688e-05 1.33523719e-01 4.00571158e-02
1.700000 7.29379746e-04 6.33899553e-04 9.54801924e-05 1.03588013e-04 1.63413923e-01 4.90241768e-02
1.750000 7.90922401e-04 6.75623340e-04 1.15299061e-04 1.25640955e-04 1.85963017e-01 5.57889051e-02
1.800000 7.92513827e-04 6.68569129e-04 1.23944698e-04 1.35701687e-04 2.02973308e-01 6.08919923e-02
1.850000 8.17832237e-04 6.92203159e-04 1.25629079e-04 1.38245831e-04 1.99718578e-01 5.99155735e-02
1.900000 8.79315466e-04 7.50647455e-04 1.28668011e-04 1.42364162e-04 1.89655159e-01 5.68965476e-02
1.950000 9.35364521e-04 8.06041242e-04 1.29323280e-04 1.43929697e-04 1.78563688e-01 5.35691065e-02
2.000000 9.85823813e-04 8.58945616e-04 1.26878197e-04 1.42099428e-04 1.65434720e-01 4.96304160e-02
2.050000 1.03286600e-03 9.18573167e-04 1.14292834e-04 1.28871712e-04 1.40295533e-01 4.20886598e-02
2.100000 1.08308451e-03 9.75270891e-04 1.07813621e-04 1.22450849e-04 1.25555730e-01 3.76667190e-02
2.150000 1.13226724e-03 1.02849409e-03 1.03773146e-04 1.18783161e-04 1.15492313e-01 3.46476938e-02
2.200000 1.17844124e-03 1.07645390e-03 1.01987342e-04 1.17719162e-04 1.09358294e-01 3.28074883e-02
2.250000 1.22010077e-03 1.11815344e-03 1.01947331e-04 1.18734117e-04 1.06187678e-01 3.18563034e-02
2.300000 1.25632943e-03 1.15358705e-03 1.02742388e-04 1.20819192e-04 1.04733485e-01 3.14200456e-02
2.350000 1.28731278e-03 1.18380514e-03 1.03507640e-04 1.22985767e-04 1.03890212e-01 3.11670636e-02
2.400000 1.31421968e-03 1.21104265e-03 1.03177029e-04 1.23963785e-04 1.02361204e-01 3.07083613e-02
2.450000 1.34000510e-03 1.23885806e-03 1.01147037e-04 1.22985300e-04 9.92731159e-02 2.97819348e-02
2.500000 1.36903250e-03 1.27219286e-03 9.68396402e-05 1.19269196e-04 9.37508768e-02 2.81252630e-02
