# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 2.30779033e-05 2.13224957e-05 1.75540752e-06 1.87274486e-06 8.78295338e-02 2.63488601e-02
1.200000 7.28604031e-05 6.74342925e-05 5.42611059e-06 5.80247123e-06 8.60462981e-02 2.58138894e-02
1.250000 8.34292792e-05 7.61919081e-05 7.23737107e-06 7.75903893e-06 1.01835472e-01 3.05506416e-02
1.300000 7.63485227e-05 6.78717045e-05 8.47681819e-06 9.11269676e-06 1.34263561e-01 4.02790684e-02
1.350000 9.75290664e-05 8.50033655e-05 1.25257009e-05 1.35049454e-05 1.58875420e-01 4.76626259e-02
1.400000 1.20457518e-04 1.05425947e-04 1.50315704e-05 1.62580202e-05 1.54212702e-01 4.62638106e-02
1.450000 1.42087807e-04 1.27695783e-04 1.43920243e-05 1.56192388e-05 1.22316011e-01 3.66948034e-02
1.500000 2.58844692e-04 2.41143881e-04 1.77008108e-05 1.92803482e-05 7.99537109e-02 2.39861133e-02
1.550000 2.47116699e-04 2.27706523e-04 1.94101764e-05 2.12251791e-05 9.32128728e-02 2.79638618e-02
1.600000 2.30455777e-04 2.09279229e-04 2.11765483e-05 2.32542103e-05 1.11115711e-01 3.33347132e-02
1.650000 3.08746609e-04 2.75591957e-04 3.31546516e-05 3.65719663e-05 1.32703315e-01 3.98109945e-02
1.700000 3.57523995e-04 3.11787679e-04 4.57363162e-05 5.06949234e-05 1.62594377e-01 4.87783131e-02
1.750000 3.91067789e-04 3.35467471e-04 5.56003184e-05 6.19486530e-05 1.84663666e-01 5.53990998e-02
1.800000 3.95183691e-04 3.35192436e-04 5.99912551e-05 6.72134593e-05 2.00522005e-01 6.01566015e-02
1.850000 4.11335988e-04 3.50483680e-04 6.08523089e-05 6.85855848e-05 1.95688384e-01 5.87065151e-02
1.900000 4.46105601e-04 3.83909644e-04 6.21959574e-05 7.05490918e-05 1.83764834e-01 5.51294501e-02
1.950000 4.78680089e-04 4.16455982e-04 6.22241072e-05 7.10657917e-05 1.70644185e-01 5.11932556e-02
2.000000 5.09009072e-04 4.48377469e-04 6.06316026e-05 6.97568711e-05 1.55576218e-01 4.66728655e-02
2.050000 5.38648549e-04 4.84499217e-04 5.41493317e-05 6.27907613e-05 1.29599304e-01 3.88797912e-02
2.100000 5.70368632e-04 5.19790835e-04 5.05777971e-05 5.91456057e-05 1.13787319e-01 3.41361958e-02
2.150000 6.02080029e-04 5.53911611e-04 4.81684180e-05 5.68392044e-05 1.02614214e-01 3.07842641e-02
2.200000 6.32656923e-04 5.85827669e-04 4.68292545e-05 5.57966790e-05 9.52441853e-02 2.85732556e-02
2.250000 6.61214279e-04 6.14896607e-04 4.63176725e-05 5.57630837e-05 9.06869271e-02 2.72060781e-02
2.300000 6.87217736e-04 6.41000930e-04 4.62168057e-05 5.62645893e-05 8.77761430e-02 2.63328429e-02
2.350000 7.10757832e-04 6.64613608e-04 4.61442235e-05 5.68510811e-05 8.55400497e-02 2.56620149e-02
2.400000 7.32541046e-04 6.86902290e-04 4.56387562e-05 5.69533526e-05 8.29133247e-02 2.48739974e-02
2.450000 7.54294717e-04 7.09844037e-04 4.44506799e-05 5.62387142e-05 7.92268601e-02 2.37680580e-02
2.500000 7.78637934e-04 7.36298551e-04 4.23393830e-05 5.43641397e-05 7.38343701e-02 2.21503110e-02
