# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 6.61236125e-07 6.50713135e-07 1.05229900e-08 1.31103735e-08 2.01477007e-02 6.04431021e-03
1.200000 2.16128216e-06 2.12004509e-06 4.12370729e-08 5.16888282e-08 2.43810042e-02 7.31430127e-03
1.250000 2.53250394e-06 2.46628292e-06 6.62210225e-08 8.35446862e-08 3.38747374e-02 1.01624212e-02
1.300000 2.35146995e-06 2.26091637e-06 9.05535778e-08 1.15036096e-07 5.08802968e-02 1.52640890e-02
1.350000 3.06602147e-06 2.91292805e-06 1.53093413e-07 1.95926525e-07 6.72610246e-02 2.01783074e-02
1.400000 3.92278672e-06 3.71557356e-06 2.07213151e-07 2.67286460e-07 7.19367966e-02 2.15810390e-02
1.450000 4.84921094e-06 4.62786329e-06 2.21347644e-07 2.87928859e-07 6.22163709e-02 1.86649113e-02
1.500000 9.28780387e-06 8.98672682e-06 3.01077048e-07 3.95166772e-07 4.39722693e-02 1.31916808e-02
1.550000 9.08951594e-06 8.72712009e-06 3.62395852e-07 4.80214811e-07 5.50255761e-02 1.65076728e-02
1.600000 8.68173700e-06 8.25068761e-06 4.31049388e-07 5.77035494e-07 6.99378671e-02 2.09813601e-02
1.650000 1.19110281e-05 1.11799979e-05 7.31030195e-07 9.89294233e-07 8.84878727e-02 2.65463618e-02
1.700000 1.41059061e-05 1.30204472e-05 1.08545891e-06 1.48603539e-06 1.14130903e-01 3.42392708e-02
1.750000 1.58397156e-05 1.44284853e-05 1.41123035e-06 1.95601116e-06 1.35565939e-01 4.06697817e-02
1.800000 1.64737454e-05 1.48560473e-05 1.61769814e-06 2.27187063e-06 1.52925646e-01 4.58776938e-02
1.850000 1.77478245e-05 1.60164964e-05 1.73132805e-06 2.46580229e-06 1.53953913e-01 4.61861738e-02
1.900000 1.99537749e-05 1.81001012e-05 1.85367368e-06 2.67986176e-06 1.48057833e-01 4.44173499e-02
1.950000 2.21974814e-05 2.02692768e-05 1.92820455e-06 2.83249934e-06 1.39743483e-01 4.19230449e-02
2.000000 2.44805355e-05 2.25420084e-05 1.93852708e-06 2.89665262e-06 1.28500201e-01 3.85500604e-02
2.050000 2.69477142e-05 2.51754186e-05 1.77229559e-06 2.69696220e-06 1.07126807e-01 3.21380420e-02
2.100000 2.96125769e-05 2.79312621e-05 1.68131487e-06 2.60884369e-06 9.34022845e-02 2.80206854e-02
2.150000 3.24107187e-05 3.07970581e-05 1.61366062e-06 2.55659346e-06 8.30142103e-02 2.49042631e-02
2.200000 3.52866256e-05 3.37175683e-05 1.56905736e-06 2.54201306e-06 7.53913522e-02 2.26174056e-02
2.250000 3.81929583e-05 3.66519540e-05 1.54100438e-06 2.55697064e-06 6.97635559e-02 2.09290668e-02
2.300000 4.11017152e-05 3.95851555e-05 1.51655970e-06 2.58177591e-06 6.52208101e-02 1.95662430e-02
2.350000 4.40214695e-05 4.25372776e-05 1.48419197e-06 2.59722072e-06 6.10575211e-02 1.83172563e-02
2.400000 4.70081264e-05 4.55772475e-05 1.43087886e-06 2.57917675e-06 5.65891293e-02 1.69767388e-02
2.450000 5.01914543e-05 4.88396480e-05 1.35180629e-06 2.51558730e-06 5.15070727e-02 1.54521218e-02
2.500000 5.37851288e-05 5.25414547e-05 1.24367410e-06 2.39533023e-06 4.55893398e-02 1.36768019e-02
