     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     1.750     0.050    0.459E+00    0.385E+00    0.165E+01    0.146E+00    0.157E+00    0.613E-01    0.613E-01    0.101E-02    0.101E-02    0.000E+00    0.000E+00
     1.750     0.100    0.553E+00    0.405E+00    0.140E+01    0.950E-01    0.119E+00    0.433E-01    0.433E-01    0.645E-03    0.645E-03    0.000E+00    0.000E+00
     1.750     0.150    0.621E+00    0.399E+00    0.112E+01    0.633E-01    0.937E-01    0.316E-01    0.316E-01    0.417E-03    0.417E-03    0.000E+00    0.000E+00
     1.750     0.200    0.663E+00    0.378E+00    0.866E+00    0.459E-01    0.695E-01    0.232E-01    0.232E-01    0.265E-03    0.265E-03    0.000E+00    0.000E+00
     1.750     0.250    0.675E+00    0.346E+00    0.640E+00    0.353E-01    0.490E-01    0.170E-01    0.170E-01    0.165E-03    0.165E-03    0.000E+00    0.000E+00
     1.750     0.300    0.658E+00    0.306E+00    0.453E+00    0.272E-01    0.334E-01    0.122E-01    0.122E-01    0.989E-04    0.989E-04    0.000E+00    0.000E+00
     1.750     0.350    0.617E+00    0.262E+00    0.307E+00    0.203E-01    0.225E-01    0.858E-02    0.858E-02    0.572E-04    0.572E-04    0.000E+00    0.000E+00
     1.750     0.400    0.557E+00    0.215E+00    0.198E+00    0.144E-01    0.150E-01    0.589E-02    0.589E-02    0.316E-04    0.316E-04    0.000E+00    0.000E+00
     1.750     0.450    0.485E+00    0.169E+00    0.121E+00    0.966E-02    0.978E-02    0.390E-02    0.390E-02    0.165E-04    0.165E-04    0.000E+00    0.000E+00
     1.750     0.500    0.406E+00    0.125E+00    0.700E-01    0.615E-02    0.617E-02    0.247E-02    0.247E-02    0.814E-05    0.814E-05    0.000E+00    0.000E+00
     1.750     0.550    0.327E+00    0.874E-01    0.376E-01    0.367E-02    0.367E-02    0.147E-02    0.147E-02    0.371E-05    0.371E-05    0.000E+00    0.000E+00
     1.750     0.600    0.251E+00    0.566E-01    0.186E-01    0.201E-02    0.201E-02    0.806E-03    0.806E-03    0.154E-05    0.154E-05    0.000E+00    0.000E+00
     1.750     0.650    0.182E+00    0.335E-01    0.824E-02    0.971E-03    0.971E-03    0.389E-03    0.389E-03    0.572E-06    0.572E-06    0.000E+00    0.000E+00
     1.750     0.700    0.123E+00    0.177E-01    0.319E-02    0.372E-03    0.372E-03    0.149E-03    0.149E-03    0.182E-06    0.182E-06    0.000E+00    0.000E+00
     1.750     0.750    0.757E-01    0.804E-02    0.102E-02    0.722E-04    0.722E-04    0.289E-04    0.289E-04    0.475E-07    0.475E-07    0.000E+00    0.000E+00
     1.750     0.800    0.409E-01    0.297E-02    0.252E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.934E-08    0.934E-08    0.000E+00    0.000E+00
     1.750     0.850    0.180E-01    0.825E-03    0.408E-04    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.120E-08    0.120E-08    0.000E+00    0.000E+00
     1.750     0.900    0.547E-02    0.136E-03    0.309E-05    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.738E-10    0.738E-10    0.000E+00    0.000E+00
     1.750     0.950    0.669E-03    0.756E-05    0.315E-07    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.977E-12    0.977E-12    0.000E+00    0.000E+00

