     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     1.250     0.050    0.442E+00    0.376E+00    0.143E+01    0.141E+00    0.152E+00    0.530E-01    0.530E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.100    0.543E+00    0.404E+00    0.136E+01    0.931E-01    0.118E+00    0.386E-01    0.386E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.150    0.620E+00    0.406E+00    0.117E+01    0.625E-01    0.946E-01    0.291E-01    0.291E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.200    0.673E+00    0.389E+00    0.940E+00    0.459E-01    0.716E-01    0.221E-01    0.221E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.250    0.695E+00    0.361E+00    0.717E+00    0.360E-01    0.513E-01    0.166E-01    0.166E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.300    0.686E+00    0.324E+00    0.521E+00    0.284E-01    0.354E-01    0.122E-01    0.122E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.350    0.651E+00    0.281E+00    0.361E+00    0.216E-01    0.241E-01    0.882E-02    0.882E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.400    0.595E+00    0.234E+00    0.237E+00    0.155E-01    0.162E-01    0.618E-02    0.618E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.450    0.523E+00    0.185E+00    0.148E+00    0.106E-01    0.108E-01    0.418E-02    0.418E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.500    0.443E+00    0.139E+00    0.865E-01    0.685E-02    0.687E-02    0.270E-02    0.270E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.550    0.361E+00    0.983E-01    0.470E-01    0.415E-02    0.415E-02    0.164E-02    0.164E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.600    0.280E+00    0.644E-01    0.234E-01    0.231E-02    0.231E-02    0.916E-03    0.916E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.650    0.206E+00    0.386E-01    0.104E-01    0.114E-02    0.114E-02    0.451E-03    0.451E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.700    0.141E+00    0.206E-01    0.401E-02    0.446E-03    0.446E-03    0.177E-03    0.177E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.750    0.878E-01    0.951E-02    0.126E-02    0.944E-04    0.944E-04    0.375E-04    0.375E-04    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.800    0.482E-01    0.357E-02    0.290E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.850    0.216E-01    0.101E-02    0.384E-04    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.900    0.672E-02    0.170E-03    0.745E-06    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.250     0.950    0.853E-03    0.976E-05    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.000E+00

