     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     4.000     0.010    0.410E+00    0.361E+00    0.353E+01    0.250E+00    0.270E+00    0.143E+00    0.143E+00    0.654E-01    0.654E-01    0.000E+00    0.000E+00
     4.000     0.020    0.451E+00    0.386E+00    0.328E+01    0.212E+00    0.234E+00    0.119E+00    0.119E+00    0.490E-01    0.490E-01    0.000E+00    0.000E+00
     4.000     0.030    0.491E+00    0.407E+00    0.302E+01    0.190E+00    0.211E+00    0.103E+00    0.103E+00    0.386E-01    0.386E-01    0.000E+00    0.000E+00
     4.000     0.040    0.526E+00    0.423E+00    0.275E+01    0.175E+00    0.195E+00    0.928E-01    0.928E-01    0.314E-01    0.314E-01    0.000E+00    0.000E+00
     4.000     0.050    0.556E+00    0.434E+00    0.249E+01    0.161E+00    0.182E+00    0.840E-01    0.840E-01    0.258E-01    0.258E-01    0.000E+00    0.000E+00
     4.000     0.060    0.581E+00    0.441E+00    0.225E+01    0.147E+00    0.172E+00    0.767E-01    0.767E-01    0.215E-01    0.215E-01    0.000E+00    0.000E+00
     4.000     0.070    0.602E+00    0.445E+00    0.203E+01    0.135E+00    0.163E+00    0.703E-01    0.703E-01    0.180E-01    0.180E-01    0.000E+00    0.000E+00
     4.000     0.080    0.620E+00    0.447E+00    0.182E+01    0.123E+00    0.155E+00    0.647E-01    0.647E-01    0.152E-01    0.152E-01    0.000E+00    0.000E+00
     4.000     0.090    0.636E+00    0.446E+00    0.164E+01    0.112E+00    0.148E+00    0.596E-01    0.596E-01    0.129E-01    0.129E-01    0.000E+00    0.000E+00
     4.000     0.100    0.649E+00    0.444E+00    0.147E+01    0.101E+00    0.140E+00    0.550E-01    0.550E-01    0.110E-01    0.110E-01    0.000E+00    0.000E+00
     4.000     0.110    0.661E+00    0.440E+00    0.133E+01    0.924E-01    0.133E+00    0.508E-01    0.508E-01    0.947E-02    0.947E-02    0.000E+00    0.000E+00
     4.000     0.120    0.670E+00    0.436E+00    0.119E+01    0.843E-01    0.126E+00    0.469E-01    0.469E-01    0.817E-02    0.817E-02    0.000E+00    0.000E+00
     4.000     0.130    0.678E+00    0.430E+00    0.107E+01    0.771E-01    0.118E+00    0.433E-01    0.433E-01    0.709E-02    0.709E-02    0.000E+00    0.000E+00
     4.000     0.140    0.685E+00    0.423E+00    0.968E+00    0.708E-01    0.111E+00    0.400E-01    0.400E-01    0.619E-02    0.619E-02    0.000E+00    0.000E+00
     4.000     0.150    0.690E+00    0.416E+00    0.875E+00    0.651E-01    0.103E+00    0.369E-01    0.369E-01    0.542E-02    0.542E-02    0.000E+00    0.000E+00
     4.000     0.160    0.694E+00    0.409E+00    0.792E+00    0.601E-01    0.955E-01    0.340E-01    0.340E-01    0.477E-02    0.477E-02    0.000E+00    0.000E+00
     4.000     0.170    0.696E+00    0.401E+00    0.718E+00    0.556E-01    0.882E-01    0.313E-01    0.313E-01    0.421E-02    0.421E-02    0.000E+00    0.000E+00
     4.000     0.180    0.697E+00    0.392E+00    0.653E+00    0.515E-01    0.812E-01    0.288E-01    0.288E-01    0.374E-02    0.374E-02    0.000E+00    0.000E+00
     4.000     0.190    0.696E+00    0.384E+00    0.595E+00    0.478E-01    0.744E-01    0.264E-01    0.264E-01    0.333E-02    0.333E-02    0.000E+00    0.000E+00
     4.000     0.200    0.694E+00    0.375E+00    0.543E+00    0.444E-01    0.680E-01    0.243E-01    0.243E-01    0.297E-02    0.297E-02    0.000E+00    0.000E+00
     4.000     0.210    0.691E+00    0.366E+00    0.497E+00    0.413E-01    0.619E-01    0.222E-01    0.222E-01    0.266E-02    0.266E-02    0.000E+00    0.000E+00
     4.000     0.220    0.686E+00    0.357E+00    0.457E+00    0.384E-01    0.562E-01    0.203E-01    0.203E-01    0.239E-02    0.239E-02    0.000E+00    0.000E+00
     4.000     0.230    0.681E+00    0.348E+00    0.420E+00    0.356E-01    0.508E-01    0.186E-01    0.186E-01    0.215E-02    0.215E-02    0.000E+00    0.000E+00
     4.000     0.240    0.674E+00    0.339E+00    0.387E+00    0.331E-01    0.459E-01    0.169E-01    0.169E-01    0.193E-02    0.193E-02    0.000E+00    0.000E+00
     4.000     0.250    0.666E+00    0.329E+00    0.358E+00    0.306E-01    0.413E-01    0.154E-01    0.154E-01    0.174E-02    0.174E-02    0.000E+00    0.000E+00
     4.000     0.260    0.657E+00    0.319E+00    0.332E+00    0.283E-01    0.371E-01    0.140E-01    0.140E-01    0.157E-02    0.157E-02    0.000E+00    0.000E+00
     4.000     0.270    0.647E+00    0.309E+00    0.308E+00    0.261E-01    0.333E-01    0.127E-01    0.127E-01    0.142E-02    0.142E-02    0.000E+00    0.000E+00
     4.000     0.280    0.636E+00    0.300E+00    0.286E+00    0.240E-01    0.298E-01    0.115E-01    0.115E-01    0.128E-02    0.128E-02    0.000E+00    0.000E+00
     4.000     0.290    0.625E+00    0.289E+00    0.266E+00    0.220E-01    0.266E-01    0.104E-01    0.104E-01    0.116E-02    0.116E-02    0.000E+00    0.000E+00
     4.000     0.300    0.613E+00    0.279E+00    0.248E+00    0.201E-01    0.237E-01    0.940E-02    0.940E-02    0.105E-02    0.105E-02    0.000E+00    0.000E+00
