     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     3.000     0.010    0.401E+00    0.368E+00    0.303E+01    0.249E+00    0.270E+00    0.120E+00    0.120E+00    0.270E-01    0.270E-01    0.000E+00    0.000E+00
     3.000     0.020    0.417E+00    0.379E+00    0.255E+01    0.209E+00    0.228E+00    0.101E+00    0.101E+00    0.223E-01    0.223E-01    0.000E+00    0.000E+00
     3.000     0.030    0.438E+00    0.388E+00    0.227E+01    0.185E+00    0.201E+00    0.888E-01    0.888E-01    0.193E-01    0.193E-01    0.000E+00    0.000E+00
     3.000     0.040    0.461E+00    0.394E+00    0.209E+01    0.169E+00    0.181E+00    0.804E-01    0.804E-01    0.172E-01    0.172E-01    0.000E+00    0.000E+00
     3.000     0.050    0.482E+00    0.399E+00    0.194E+01    0.154E+00    0.166E+00    0.733E-01    0.733E-01    0.154E-01    0.154E-01    0.000E+00    0.000E+00
     3.000     0.060    0.501E+00    0.402E+00    0.182E+01    0.141E+00    0.154E+00    0.674E-01    0.674E-01    0.139E-01    0.139E-01    0.000E+00    0.000E+00
     3.000     0.070    0.519E+00    0.405E+00    0.171E+01    0.129E+00    0.145E+00    0.622E-01    0.622E-01    0.126E-01    0.126E-01    0.000E+00    0.000E+00
     3.000     0.080    0.536E+00    0.406E+00    0.161E+01    0.117E+00    0.136E+00    0.576E-01    0.576E-01    0.114E-01    0.114E-01    0.000E+00    0.000E+00
     3.000     0.090    0.551E+00    0.406E+00    0.151E+01    0.107E+00    0.129E+00    0.535E-01    0.535E-01    0.104E-01    0.104E-01    0.000E+00    0.000E+00
     3.000     0.100    0.565E+00    0.405E+00    0.143E+01    0.977E-01    0.122E+00    0.497E-01    0.497E-01    0.948E-02    0.948E-02    0.000E+00    0.000E+00
     3.000     0.110    0.579E+00    0.404E+00    0.134E+01    0.894E-01    0.116E+00    0.463E-01    0.463E-01    0.864E-02    0.864E-02    0.000E+00    0.000E+00
     3.000     0.120    0.591E+00    0.401E+00    0.127E+01    0.819E-01    0.110E+00    0.431E-01    0.431E-01    0.788E-02    0.788E-02    0.000E+00    0.000E+00
     3.000     0.130    0.602E+00    0.398E+00    0.119E+01    0.753E-01    0.104E+00    0.402E-01    0.402E-01    0.719E-02    0.719E-02    0.000E+00    0.000E+00
     3.000     0.140    0.612E+00    0.394E+00    0.112E+01    0.695E-01    0.983E-01    0.375E-01    0.375E-01    0.656E-02    0.656E-02    0.000E+00    0.000E+00
     3.000     0.150    0.621E+00    0.390E+00    0.105E+01    0.643E-01    0.926E-01    0.350E-01    0.350E-01    0.598E-02    0.598E-02    0.000E+00    0.000E+00
     3.000     0.160    0.629E+00    0.385E+00    0.989E+00    0.597E-01    0.871E-01    0.326E-01    0.326E-01    0.545E-02    0.545E-02    0.000E+00    0.000E+00
     3.000     0.170    0.635E+00    0.379E+00    0.928E+00    0.556E-01    0.818E-01    0.305E-01    0.305E-01    0.497E-02    0.497E-02    0.000E+00    0.000E+00
     3.000     0.180    0.641E+00    0.373E+00    0.870E+00    0.520E-01    0.766E-01    0.284E-01    0.284E-01    0.452E-02    0.452E-02    0.000E+00    0.000E+00
     3.000     0.190    0.645E+00    0.367E+00    0.814E+00    0.487E-01    0.716E-01    0.265E-01    0.265E-01    0.411E-02    0.411E-02    0.000E+00    0.000E+00
     3.000     0.200    0.648E+00    0.360E+00    0.762E+00    0.458E-01    0.667E-01    0.247E-01    0.247E-01    0.374E-02    0.374E-02    0.000E+00    0.000E+00
     3.000     0.210    0.650E+00    0.353E+00    0.711E+00    0.431E-01    0.621E-01    0.231E-01    0.231E-01    0.339E-02    0.339E-02    0.000E+00    0.000E+00
     3.000     0.220    0.651E+00    0.346E+00    0.663E+00    0.406E-01    0.578E-01    0.215E-01    0.215E-01    0.308E-02    0.308E-02    0.000E+00    0.000E+00
     3.000     0.230    0.651E+00    0.339E+00    0.618E+00    0.383E-01    0.536E-01    0.201E-01    0.201E-01    0.279E-02    0.279E-02    0.000E+00    0.000E+00
     3.000     0.240    0.649E+00    0.331E+00    0.575E+00    0.362E-01    0.497E-01    0.187E-01    0.187E-01    0.252E-02    0.252E-02    0.000E+00    0.000E+00
     3.000     0.250    0.646E+00    0.323E+00    0.534E+00    0.342E-01    0.459E-01    0.174E-01    0.174E-01    0.228E-02    0.228E-02    0.000E+00    0.000E+00
     3.000     0.260    0.643E+00    0.315E+00    0.495E+00    0.323E-01    0.425E-01    0.162E-01    0.162E-01    0.206E-02    0.206E-02    0.000E+00    0.000E+00
     3.000     0.270    0.638E+00    0.307E+00    0.459E+00    0.306E-01    0.392E-01    0.151E-01    0.151E-01    0.186E-02    0.186E-02    0.000E+00    0.000E+00
     3.000     0.280    0.632E+00    0.298E+00    0.424E+00    0.288E-01    0.362E-01    0.140E-01    0.140E-01    0.167E-02    0.167E-02    0.000E+00    0.000E+00
     3.000     0.290    0.626E+00    0.289E+00    0.392E+00    0.272E-01    0.333E-01    0.130E-01    0.130E-01    0.150E-02    0.150E-02    0.000E+00    0.000E+00
     3.000     0.300    0.618E+00    0.281E+00    0.362E+00    0.256E-01    0.307E-01    0.121E-01    0.121E-01    0.135E-02    0.135E-02    0.000E+00    0.000E+00
     3.000     0.310    0.610E+00    0.272E+00    0.333E+00    0.241E-01    0.283E-01    0.112E-01    0.112E-01    0.121E-02    0.121E-02    0.000E+00    0.000E+00
     3.000     0.320    0.600E+00    0.263E+00    0.306E+00    0.226E-01    0.260E-01    0.104E-01    0.104E-01    0.108E-02    0.108E-02    0.000E+00    0.000E+00
     3.000     0.330    0.590E+00    0.254E+00    0.281E+00    0.212E-01    0.240E-01    0.962E-02    0.962E-02    0.970E-03    0.970E-03    0.000E+00    0.000E+00
     3.000     0.340    0.580E+00    0.245E+00    0.257E+00    0.199E-01    0.220E-01    0.890E-02    0.890E-02    0.866E-03    0.866E-03    0.000E+00    0.000E+00
     3.000     0.350    0.568E+00    0.236E+00    0.236E+00    0.185E-01    0.203E-01    0.823E-02    0.823E-02    0.771E-03    0.771E-03    0.000E+00    0.000E+00
     3.000     0.360    0.556E+00    0.226E+00    0.215E+00    0.173E-01    0.186E-01    0.760E-02    0.760E-02    0.686E-03    0.686E-03    0.000E+00    0.000E+00
     3.000     0.370    0.544E+00    0.217E+00    0.196E+00    0.161E-01    0.171E-01    0.701E-02    0.701E-02    0.609E-03    0.609E-03    0.000E+00    0.000E+00
     3.000     0.380    0.531E+00    0.208E+00    0.178E+00    0.149E-01    0.157E-01    0.646E-02    0.646E-02    0.539E-03    0.539E-03    0.000E+00    0.000E+00
     3.000     0.390    0.518E+00    0.199E+00    0.162E+00    0.138E-01    0.144E-01    0.594E-02    0.594E-02    0.477E-03    0.477E-03    0.000E+00    0.000E+00
     3.000     0.400    0.504E+00    0.190E+00    0.147E+00    0.128E-01    0.132E-01    0.546E-02    0.546E-02    0.421E-03    0.421E-03    0.000E+00    0.000E+00
     3.000     0.410    0.490E+00    0.181E+00    0.133E+00    0.118E-01    0.121E-01    0.501E-02    0.501E-02    0.371E-03    0.371E-03    0.000E+00    0.000E+00
     3.000     0.420    0.475E+00    0.172E+00    0.120E+00    0.109E-01    0.111E-01    0.459E-02    0.459E-02    0.326E-03    0.326E-03    0.000E+00    0.000E+00
     3.000     0.430    0.461E+00    0.163E+00    0.108E+00    0.999E-02    0.102E-01    0.421E-02    0.421E-02    0.286E-03    0.286E-03    0.000E+00    0.000E+00
     3.000     0.440    0.446E+00    0.155E+00    0.973E-01    0.917E-02    0.930E-02    0.384E-02    0.384E-02    0.250E-03    0.250E-03    0.000E+00    0.000E+00
     3.000     0.450    0.431E+00    0.146E+00    0.873E-01    0.839E-02    0.848E-02    0.351E-02    0.351E-02    0.218E-03    0.218E-03    0.000E+00    0.000E+00
     3.000     0.460    0.416E+00    0.138E+00    0.782E-01    0.766E-02    0.773E-02    0.319E-02    0.319E-02    0.190E-03    0.190E-03    0.000E+00    0.000E+00
     3.000     0.470    0.401E+00    0.130E+00    0.698E-01    0.699E-02    0.703E-02    0.290E-02    0.290E-02    0.165E-03    0.165E-03    0.000E+00    0.000E+00
     3.000     0.480    0.385E+00    0.122E+00    0.622E-01    0.635E-02    0.638E-02    0.263E-02    0.263E-02    0.143E-03    0.143E-03    0.000E+00    0.000E+00
     3.000     0.490    0.370E+00    0.114E+00    0.553E-01    0.576E-02    0.579E-02    0.238E-02    0.238E-02    0.123E-03    0.123E-03    0.000E+00    0.000E+00
     3.000     0.500    0.355E+00    0.106E+00    0.490E-01    0.522E-02    0.523E-02    0.215E-02    0.215E-02    0.106E-03    0.106E-03    0.000E+00    0.000E+00
     3.000     0.510    0.340E+00    0.991E-01    0.434E-01    0.471E-02    0.472E-02    0.194E-02    0.194E-02    0.913E-04    0.913E-04    0.000E+00    0.000E+00
     3.000     0.520    0.325E+00    0.921E-01    0.382E-01    0.424E-02    0.425E-02    0.174E-02    0.174E-02    0.782E-04    0.782E-04    0.000E+00    0.000E+00
     3.000     0.530    0.310E+00    0.854E-01    0.336E-01    0.381E-02    0.381E-02    0.156E-02    0.156E-02    0.667E-04    0.667E-04    0.000E+00    0.000E+00
     3.000     0.540    0.295E+00    0.790E-01    0.295E-01    0.341E-02    0.341E-02    0.140E-02    0.140E-02    0.568E-04    0.568E-04    0.000E+00    0.000E+00
     3.000     0.550    0.280E+00    0.728E-01    0.258E-01    0.304E-02    0.304E-02    0.125E-02    0.125E-02    0.481E-04    0.481E-04    0.000E+00    0.000E+00
     3.000     0.560    0.266E+00    0.669E-01    0.225E-01    0.270E-02    0.270E-02    0.111E-02    0.111E-02    0.406E-04    0.406E-04    0.000E+00    0.000E+00
     3.000     0.570    0.252E+00    0.613E-01    0.195E-01    0.240E-02    0.240E-02    0.979E-03    0.979E-03    0.342E-04    0.342E-04    0.000E+00    0.000E+00
     3.000     0.580    0.238E+00    0.560E-01    0.169E-01    0.211E-02    0.211E-02    0.863E-03    0.863E-03    0.287E-04    0.287E-04    0.000E+00    0.000E+00
     3.000     0.590    0.224E+00    0.510E-01    0.146E-01    0.186E-02    0.186E-02    0.757E-03    0.757E-03    0.239E-04    0.239E-04    0.000E+00    0.000E+00
     3.000     0.600    0.211E+00    0.463E-01    0.125E-01    0.162E-02    0.162E-02    0.661E-03    0.661E-03    0.199E-04    0.199E-04    0.000E+00    0.000E+00
     3.000     0.610    0.198E+00    0.418E-01    0.107E-01    0.141E-02    0.141E-02    0.575E-03    0.575E-03    0.165E-04    0.165E-04    0.000E+00    0.000E+00
     3.000     0.620    0.186E+00    0.377E-01    0.916E-02    0.122E-02    0.122E-02    0.496E-03    0.496E-03    0.135E-04    0.135E-04    0.000E+00    0.000E+00
     3.000     0.630    0.173E+00    0.338E-01    0.778E-02    0.105E-02    0.105E-02    0.426E-03    0.426E-03    0.111E-04    0.111E-04    0.000E+00    0.000E+00
     3.000     0.640    0.162E+00    0.302E-01    0.658E-02    0.895E-03    0.895E-03    0.363E-03    0.363E-03    0.906E-05    0.906E-05    0.000E+00    0.000E+00
     3.000     0.650    0.150E+00    0.269E-01    0.554E-02    0.757E-03    0.757E-03    0.307E-03    0.307E-03    0.735E-05    0.735E-05    0.000E+00    0.000E+00
     3.000     0.660    0.139E+00    0.239E-01    0.464E-02    0.635E-03    0.635E-03    0.257E-03    0.257E-03    0.592E-05    0.592E-05    0.000E+00    0.000E+00
     3.000     0.670    0.128E+00    0.210E-01    0.387E-02    0.527E-03    0.527E-03    0.213E-03    0.213E-03    0.475E-05    0.475E-05    0.000E+00    0.000E+00
     3.000     0.680    0.118E+00    0.185E-01    0.321E-02    0.431E-03    0.431E-03    0.175E-03    0.175E-03    0.378E-05    0.378E-05    0.000E+00    0.000E+00
     3.000     0.690    0.109E+00    0.161E-01    0.265E-02    0.348E-03    0.348E-03    0.141E-03    0.141E-03    0.299E-05    0.299E-05    0.000E+00    0.000E+00
     3.000     0.700    0.993E-01    0.140E-01    0.218E-02    0.275E-03    0.275E-03    0.112E-03    0.112E-03    0.235E-05    0.235E-05    0.000E+00    0.000E+00
     3.000     0.710    0.904E-01    0.121E-01    0.177E-02    0.213E-03    0.213E-03    0.862E-04    0.862E-04    0.183E-05    0.183E-05    0.000E+00    0.000E+00
     3.000     0.720    0.821E-01    0.104E-01    0.144E-02    0.159E-03    0.159E-03    0.646E-04    0.646E-04    0.142E-05    0.142E-05    0.000E+00    0.000E+00
     3.000     0.730    0.741E-01    0.883E-02    0.116E-02    0.114E-03    0.114E-03    0.462E-04    0.462E-04    0.109E-05    0.109E-05    0.000E+00    0.000E+00
     3.000     0.740    0.667E-01    0.748E-02    0.924E-03    0.762E-04    0.762E-04    0.310E-04    0.310E-04    0.826E-06    0.826E-06    0.000E+00    0.000E+00
     3.000     0.750    0.597E-01    0.628E-02    0.732E-03    0.439E-04    0.439E-04    0.180E-04    0.180E-04    0.622E-06    0.622E-06    0.000E+00    0.000E+00
     3.000     0.760    0.531E-01    0.523E-02    0.576E-03    0.183E-04    0.183E-04    0.759E-05    0.759E-05    0.463E-06    0.463E-06    0.000E+00    0.000E+00
     3.000     0.770    0.470E-01    0.432E-02    0.450E-03    0.291E-05    0.291E-05    0.135E-05    0.135E-05    0.342E-06    0.342E-06    0.000E+00    0.000E+00
     3.000     0.780    0.413E-01    0.353E-02    0.347E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.248E-06    0.248E-06    0.000E+00    0.000E+00
     3.000     0.790    0.361E-01    0.286E-02    0.266E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.179E-06    0.179E-06    0.000E+00    0.000E+00
     3.000     0.800    0.313E-01    0.231E-02    0.201E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.127E-06    0.127E-06    0.000E+00    0.000E+00
     3.000     0.810    0.269E-01    0.185E-02    0.151E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.886E-07    0.886E-07    0.000E+00    0.000E+00
     3.000     0.820    0.230E-01    0.146E-02    0.112E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.608E-07    0.608E-07    0.000E+00    0.000E+00
     3.000     0.830    0.194E-01    0.113E-02    0.815E-04    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.410E-07    0.410E-07    0.000E+00    0.000E+00
     3.000     0.840    0.162E-01    0.865E-03    0.587E-04    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.272E-07    0.272E-07    0.000E+00    0.000E+00
     3.000     0.850    0.133E-01    0.650E-03    0.415E-04    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.175E-07    0.175E-07    0.000E+00    0.000E+00
     3.000     0.860    0.108E-01    0.481E-03    0.290E-04    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.112E-07    0.112E-07    0.000E+00    0.000E+00
     3.000     0.870    0.863E-02    0.348E-03    0.196E-04    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.678E-08    0.678E-08    0.000E+00    0.000E+00
     3.000     0.880    0.676E-02    0.246E-03    0.131E-04    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.409E-08    0.409E-08    0.000E+00    0.000E+00
     3.000     0.890    0.518E-02    0.170E-03    0.847E-05    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.232E-08    0.232E-08    0.000E+00    0.000E+00
     3.000     0.900    0.386E-02    0.114E-03    0.530E-05    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.126E-08    0.126E-08    0.000E+00    0.000E+00
     3.000     0.910    0.279E-02    0.735E-04    0.321E-05    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.671E-09    0.671E-09    0.000E+00    0.000E+00
     3.000     0.920    0.193E-02    0.454E-04    0.181E-05    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.308E-09    0.308E-09    0.000E+00    0.000E+00
     3.000     0.930    0.127E-02    0.271E-04    0.100E-05    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.155E-09    0.155E-09    0.000E+00    0.000E+00
     3.000     0.940    0.785E-03    0.147E-04    0.468E-06    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.527E-10    0.527E-10    0.000E+00    0.000E+00
     3.000     0.950    0.438E-03    0.748E-05    0.207E-06    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.217E-10    0.217E-10    0.000E+00    0.000E+00
     3.000     0.960    0.196E-03    0.298E-05    0.647E-07    0.310E-07    0.310E-07    0.124E-07    0.124E-07    0.604E-11    0.604E-11    0.000E+00    0.000E+00
     3.000     0.970    0.448E-04    0.556E-06    0.527E-08    0.745E-07    0.745E-07    0.298E-07    0.298E-07    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     3.000     0.980    0.000E+00    0.000E+00    0.441E-08    0.989E-07    0.989E-07    0.395E-07    0.395E-07    0.205E-11    0.205E-11    0.000E+00    0.000E+00
     3.000     0.990    0.000E+00    0.000E+00    0.180E-07    0.818E-07    0.818E-07    0.327E-07    0.327E-07    0.513E-11    0.513E-11    0.000E+00    0.000E+00

