# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.080000 1.27246757e-06 1.16777800e-06 1.04689575e-07 1.11351121e-07 9.53529877e-02 2.86058963e-02
1.084069 2.38259648e-06 2.18789209e-06 1.94704388e-07 2.07128209e-07 9.46702124e-02 2.84010637e-02
1.088138 3.11485170e-06 2.86272789e-06 2.52123808e-07 2.68256451e-07 9.37065838e-02 2.81119752e-02
1.092206 3.84509833e-06 3.53608635e-06 3.09011984e-07 3.28840196e-07 9.29955220e-02 2.78986566e-02
1.096275 4.68597499e-06 4.31087608e-06 3.75098905e-07 3.99235443e-07 9.26112084e-02 2.77833625e-02
1.100344 5.55005507e-06 5.10737953e-06 4.42675543e-07 4.71240924e-07 9.22666744e-02 2.76800023e-02
1.104413 6.46147948e-06 5.94763386e-06 5.13845627e-07 5.47097554e-07 9.19857488e-02 2.75957246e-02
1.108481 7.42385164e-06 6.83529119e-06 5.88560450e-07 6.26755691e-07 9.16940733e-02 2.75082220e-02
1.112550 8.44706858e-06 7.77962139e-06 6.67447195e-07 7.10885559e-07 9.13779120e-02 2.74133736e-02
1.116619 9.54249908e-06 8.79120982e-06 7.51289255e-07 8.00324285e-07 9.10368768e-02 2.73110630e-02
1.120688 1.07217042e-05 9.88077857e-06 8.40925618e-07 8.95968848e-07 9.06779603e-02 2.72033881e-02
1.124756 1.19950734e-05 1.10579399e-05 9.37133478e-07 9.98651049e-07 9.03107680e-02 2.70932304e-02
1.128825 1.33802965e-05 1.23392028e-05 1.04109368e-06 1.10963355e-06 8.99274909e-02 2.69782473e-02
1.132894 1.48902873e-05 1.37365421e-05 1.15374519e-06 1.22992211e-06 8.95365151e-02 2.68609545e-02
1.136963 1.65449457e-05 1.52684912e-05 1.27645451e-06 1.36097913e-06 8.91364517e-02 2.67409355e-02
1.141032 1.83649080e-05 1.69542643e-05 1.41064370e-06 1.50432737e-06 8.87285550e-02 2.66185665e-02
1.145100 2.03696786e-05 1.88119828e-05 1.55769582e-06 1.66144920e-06 8.83186649e-02 2.64955995e-02
1.149169 2.25862097e-05 2.08665919e-05 1.71961781e-06 1.83449368e-06 8.79153476e-02 2.63746043e-02
1.153238 2.50387895e-05 2.31402662e-05 1.89852330e-06 2.02572545e-06 8.75411474e-02 2.62623442e-02
1.157307 2.77526965e-05 2.56569882e-05 2.09570830e-06 2.23653834e-06 8.71707279e-02 2.61512184e-02
