# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.080000 8.88202201e-08 8.65506275e-08 2.26959255e-09 2.64106152e-09 3.05146432e-02 9.15439295e-03
1.084069 1.66762283e-07 1.62463944e-07 4.29833862e-09 5.00351739e-09 3.07977098e-02 9.23931293e-03
1.088138 2.18641048e-07 2.12976044e-07 5.66500384e-09 6.59659751e-09 3.09734249e-02 9.29202746e-03
1.092206 2.70630777e-07 2.63567333e-07 7.06344329e-09 8.22776841e-09 3.12169505e-02 9.36508516e-03
1.096275 3.30640650e-07 3.21922057e-07 8.71859313e-09 1.01591800e-08 3.15578873e-02 9.46736620e-03
1.100344 3.92576954e-07 3.82118661e-07 1.04582932e-08 1.21904726e-08 3.19023220e-02 9.57069660e-03
1.104413 4.58152219e-07 4.45818116e-07 1.23341028e-08 1.43818784e-08 3.22595200e-02 9.67785599e-03
1.108481 5.27661359e-07 5.13313087e-07 1.43482716e-08 1.67361978e-08 3.26042687e-02 9.78128060e-03
1.112550 6.01840625e-07 5.85320952e-07 1.65196734e-08 1.92756342e-08 3.29317346e-02 9.87952038e-03
1.116619 6.81535453e-07 6.62663449e-07 1.88720039e-08 2.20280520e-08 3.32416886e-02 9.97250659e-03
1.120688 7.67610067e-07 7.46178581e-07 2.14314864e-08 2.50243082e-08 3.35366209e-02 1.00609863e-02
1.124756 8.60850322e-07 8.36626400e-07 2.42239212e-08 2.82948111e-08 3.38201270e-02 1.01460381e-02
1.128825 9.62581860e-07 9.35295106e-07 2.72867544e-08 3.18836228e-08 3.40893720e-02 1.02268116e-02
1.132894 1.07379049e-06 1.04313786e-06 3.06526365e-08 3.58292657e-08 3.43475845e-02 1.03042754e-02
1.136963 1.19598048e-06 1.16161349e-06 3.43669916e-08 4.01852569e-08 3.45943444e-02 1.03783033e-02
1.141032 1.33072175e-06 1.29224314e-06 3.84786123e-08 4.50091349e-08 3.48302372e-02 1.04490712e-02
1.145100 1.47951240e-06 1.43647528e-06 4.30371206e-08 5.03594964e-08 3.50576841e-02 1.05173052e-02
1.149169 1.64440200e-06 1.59629058e-06 4.81114230e-08 5.63176029e-08 3.52802952e-02 1.05840886e-02
1.153238 1.82724749e-06 1.77347136e-06 5.37761279e-08 6.29715173e-08 3.55074903e-02 1.06522471e-02
1.157307 2.03003644e-06 1.96995124e-06 6.00851968e-08 7.03852531e-08 3.57294391e-02 1.07188317e-02
1.161375 2.25475910e-06 2.18767911e-06 6.70799878e-08 7.86081569e-08 3.59322154e-02 1.07796646e-02
1.165444 2.50352398e-06 2.42863826e-06 7.48857158e-08 8.77879626e-08 3.61469898e-02 1.08440969e-02
