# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.080000 5.39049161e-07 5.05156275e-07 3.38928854e-08 3.67881961e-08 7.28253769e-02 2.18476131e-02
1.084069 1.01030858e-06 9.47030410e-07 6.32781693e-08 6.86979041e-08 7.25403359e-02 2.17621008e-02
1.088138 1.32216057e-06 1.23990975e-06 8.22508255e-08 8.93140984e-08 7.20327417e-02 2.16098225e-02
1.092206 1.63370067e-06 1.53251335e-06 1.01187316e-07 1.09899710e-07 7.17120732e-02 2.15136220e-02
1.096275 1.99274837e-06 1.86946688e-06 1.23281493e-07 1.33924372e-07 7.16377344e-02 2.14913203e-02
1.100344 2.36228111e-06 2.21625962e-06 1.46021491e-07 1.58661048e-07 7.15895589e-02 2.14768677e-02
1.104413 2.75258364e-06 2.58247683e-06 1.70106807e-07 1.84870491e-07 7.15865051e-02 2.14759515e-02
1.108481 3.16527146e-06 2.96973972e-06 1.95531736e-07 2.12547536e-07 7.15710992e-02 2.14713298e-02
1.112550 3.60463111e-06 3.38211557e-06 2.22515537e-07 2.41931619e-07 7.15326293e-02 2.14597888e-02
1.116619 4.07558630e-06 3.82425381e-06 2.51332490e-07 2.73322232e-07 7.14707353e-02 2.14412206e-02
1.120688 4.58315357e-06 4.30087462e-06 2.82278954e-07 3.07043154e-07 7.13908636e-02 2.14172591e-02
1.124756 5.13186028e-06 4.81622620e-06 3.15634076e-07 3.43399740e-07 7.13005837e-02 2.13901751e-02
1.128825 5.72938916e-06 5.37757250e-06 3.51816660e-07 3.82849608e-07 7.11937603e-02 2.13581281e-02
1.132894 6.38138632e-06 5.99021782e-06 3.91168494e-07 4.25766974e-07 7.10770437e-02 2.13231131e-02
1.136963 7.09652135e-06 6.66234074e-06 4.34180614e-07 4.72688897e-07 7.09493729e-02 2.12848119e-02
1.141032 7.88380545e-06 7.40243679e-06 4.81368659e-07 5.24179739e-07 7.08117818e-02 2.12435346e-02
1.145100 8.75178492e-06 8.21854423e-06 5.33240691e-07 5.80796148e-07 7.06689812e-02 2.12006944e-02
1.149169 9.71222790e-06 9.12170338e-06 5.90524521e-07 6.43334716e-07 7.05279145e-02 2.11583743e-02
1.153238 1.07757616e-05 1.01217688e-05 6.53992830e-07 7.12641696e-07 7.04068339e-02 2.11220502e-02
1.157307 1.19535540e-05 1.12294098e-05 7.24144184e-07 7.89265405e-07 7.02855645e-02 2.10856693e-02
1.161375 1.32566427e-05 1.24553309e-05 8.01311793e-07 8.73574447e-07 7.01365910e-02 2.10409773e-02
1.165444 1.46971940e-05 1.38103808e-05 8.86813242e-07 9.67011232e-07 7.00206059e-02 2.10061818e-02
1.169513 1.62823560e-05 1.53007730e-05 9.81583037e-07 1.07060175e-06 6.99704359e-02 2.09911308e-02
1.173582 1.80162270e-05 1.69311391e-05 1.08508787e-06 1.18377174e-06 6.99168397e-02 2.09750519e-02
1.177650 1.98961500e-05 1.86981887e-05 1.19796128e-06 1.30721974e-06 6.99115707e-02 2.09734712e-02
1.181719 2.19109990e-05 2.05910604e-05 1.31993858e-06 1.44066466e-06 6.99655401e-02 2.09896620e-02
1.185788 2.40318466e-05 2.25823081e-05 1.44953853e-06 1.58249706e-06 7.00768520e-02 2.10230556e-02
1.189857 2.62132862e-05 2.46284235e-05 1.58486268e-06 1.73065048e-06 7.02704533e-02 2.10811360e-02
1.193926 2.84345077e-05 2.67092496e-05 1.72525814e-06 1.88441697e-06 7.05529733e-02 2.11658920e-02
1.197994 3.06154420e-05 2.87496442e-05 1.86579779e-06 2.03841828e-06 7.09023830e-02 2.12707149e-02
1.202063 3.26763446e-05 3.06735726e-05 2.00277199e-06 2.18860138e-06 7.13513686e-02 2.14054106e-02
1.206132 3.45402049e-05 3.24079979e-05 2.13220698e-06 2.33062055e-06 7.19149810e-02 2.15744943e-02
1.210201 3.61340132e-05 3.38845012e-05 2.24951200e-06 2.45945116e-06 7.25833663e-02 2.17750099e-02
1.214269 3.74036487e-05 3.50509293e-05 2.35271945e-06 2.57293218e-06 7.34055340e-02 2.20216602e-02
1.218338 3.83170139e-05 3.58799793e-05 2.43703459e-06 2.66580776e-06 7.42979179e-02 2.22893754e-02
1.222407 3.88665881e-05 3.63746225e-05 2.49196557e-06 2.72658314e-06 7.49583901e-02 2.24875170e-02
1.226476 3.91026493e-05 3.65295569e-05 2.57309245e-06 2.81606263e-06 7.70899752e-02 2.31269926e-02
1.230544 3.90245227e-05 3.64318235e-05 2.59269918e-06 2.83824513e-06 7.79056566e-02 2.33716970e-02
1.234613 3.87140459e-05 3.61085948e-05 2.60545117e-06 2.85293716e-06 7.90099195e-02 2.37029758e-02
1.238682 3.82438407e-05 3.56054803e-05 2.63836042e-06 2.88971848e-06 8.11593738e-02 2.43478121e-02
1.242751 3.76535022e-05 3.50041369e-05 2.64936527e-06 2.90252552e-06 8.29194998e-02 2.48758499e-02
1.246819 3.69988699e-05 3.43410838e-05 2.65778612e-06 2.91251176e-06 8.48112941e-02 2.54433882e-02
1.250888 3.63216361e-05 3.36557691e-05 2.66586698e-06 2.92213477e-06 8.68241864e-02 2.60472559e-02
1.254957 3.56685668e-05 3.29920398e-05 2.67652702e-06 2.93459496e-06 8.89485760e-02 2.66845728e-02
1.259026 3.50514555e-05 3.23610769e-05 2.69037858e-06 2.95056620e-06 9.11763908e-02 2.73529172e-02
1.263095 3.44997510e-05 3.17906435e-05 2.70910752e-06 2.97190079e-06 9.34835054e-02 2.80450516e-02
1.267163 3.40243026e-05 3.12906165e-05 2.73368609e-06 2.99966999e-06 9.58648415e-02 2.87594525e-02
1.271232 3.36319964e-05 3.08669783e-05 2.76501810e-06 3.03487115e-06 9.83209667e-02 2.94962900e-02
1.275301 3.33336636e-05 3.05295038e-05 2.80415979e-06 3.07867012e-06 1.00842455e-01 3.02527366e-02
1.279370 3.31275785e-05 3.02766247e-05 2.85095376e-06 3.13090129e-06 1.03409852e-01 3.10229557e-02
1.283438 3.30178483e-05 3.01121233e-05 2.90572506e-06 3.19192888e-06 1.06001455e-01 3.18004365e-02
1.287507 3.30035111e-05 3.00348497e-05 2.96866138e-06 3.26196671e-06 1.08606061e-01 3.25818183e-02
1.291576 3.30832528e-05 3.00432629e-05 3.03998999e-06 3.34127237e-06 1.11215363e-01 3.33646088e-02
1.295645 3.32563189e-05 3.01364374e-05 3.11988142e-06 3.43004149e-06 1.13817086e-01 3.41451258e-02
1.299713 3.35205487e-05 3.03124785e-05 3.20807022e-06 3.52799051e-06 1.16387399e-01 3.49162196e-02
