# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.080000 6.48292035e-06 5.74226617e-06 7.40654185e-07 7.68073087e-07 1.33757834e-01 4.01273503e-02
1.084069 1.21142700e-05 1.07450844e-05 1.36918552e-06 1.42003225e-06 1.32156454e-01 3.96469361e-02
1.088138 1.58042640e-05 1.40418881e-05 1.76237584e-06 1.82803125e-06 1.30184149e-01 3.90552447e-02
1.092206 1.94705325e-05 1.73232900e-05 2.14724247e-06 2.22748959e-06 1.28583519e-01 3.85750558e-02
1.096275 2.36840343e-05 2.10928694e-05 2.59116486e-06 2.68831086e-06 1.27451169e-01 3.82353507e-02
1.100344 2.79994261e-05 2.49592406e-05 3.04018550e-06 3.15453035e-06 1.26387273e-01 3.79161818e-02
1.104413 3.25381989e-05 2.90295993e-05 3.50859962e-06 3.64098563e-06 1.25423213e-01 3.76269640e-02
1.108481 3.73167481e-05 3.33209863e-05 3.99576178e-06 4.14701503e-06 1.24456551e-01 3.73369653e-02
1.112550 4.23833134e-05 3.78777088e-05 4.50560460e-06 4.67670859e-06 1.23468624e-01 3.70405873e-02
1.116619 4.77932715e-05 4.27502501e-05 5.04302141e-06 5.23515571e-06 1.22459066e-01 3.67377199e-02
1.120688 5.36026751e-05 4.79895068e-05 5.61316826e-06 5.82772110e-06 1.21437403e-01 3.64312210e-02
1.124756 5.98614165e-05 5.36407384e-05 6.22067805e-06 6.45922898e-06 1.20416481e-01 3.61249444e-02
1.128825 6.66551396e-05 5.97823916e-05 6.87274804e-06 7.13716911e-06 1.19385808e-01 3.58157423e-02
1.132894 7.40454160e-05 6.64705838e-05 7.57483221e-06 7.86722454e-06 1.18356483e-01 3.55069450e-02
1.136963 8.21279082e-05 7.37928479e-05 8.33506033e-06 8.65786073e-06 1.17326556e-01 3.51979669e-02
1.141032 9.10013198e-05 8.18395690e-05 9.16175086e-06 9.51774364e-06 1.16297578e-01 3.48892733e-02
1.145100 1.00758207e-04 9.06954116e-05 1.00627956e-05 1.04551005e-05 1.15277061e-01 3.45831184e-02
1.149169 1.11527406e-04 1.00477475e-04 1.10499311e-05 1.14821584e-05 1.14275945e-01 3.42827834e-02
1.153238 1.23424282e-04 1.11288949e-04 1.21353331e-05 1.26116070e-05 1.13323085e-01 3.39969256e-02
1.157307 1.36566918e-04 1.23241190e-04 1.33257279e-05 1.38504793e-05 1.12385147e-01 3.37155442e-02
1.161375 1.51069709e-04 1.36445108e-04 1.46246010e-05 1.52024430e-05 1.11418014e-01 3.34254043e-02
1.165444 1.67065497e-04 1.51012356e-04 1.60531410e-05 1.66895739e-05 1.10517936e-01 3.31553808e-02
1.169513 1.84628120e-04 1.67003150e-04 1.76249704e-05 1.83260922e-05 1.09735009e-01 3.29205028e-02
1.173582 2.03787135e-04 1.84460008e-04 1.93271272e-05 2.00985809e-05 1.08959016e-01 3.26877048e-02
1.177650 2.24506631e-04 2.03338953e-04 2.11676775e-05 2.20154868e-05 1.08269893e-01 3.24809680e-02
1.181719 2.46652800e-04 2.23514117e-04 2.31386824e-05 2.40686139e-05 1.07682746e-01 3.23048238e-02
1.185788 2.69892114e-04 2.44680825e-04 2.52112897e-05 2.62280059e-05 1.07192732e-01 3.21578195e-02
1.189857 2.93713219e-04 2.66362877e-04 2.73503427e-05 2.84571316e-05 1.06835952e-01 3.20507857e-02
1.193926 3.17882713e-04 2.88339616e-04 2.95430971e-05 3.07427628e-05 1.06619975e-01 3.19859926e-02
1.197994 3.41504043e-04 3.09799475e-04 3.17045676e-05 3.29964805e-05 1.06509155e-01 3.19527466e-02
1.202063 3.63700087e-04 3.29927200e-04 3.37728872e-05 3.51538807e-05 1.06550417e-01 3.19651251e-02
1.206132 3.83629328e-04 3.47945688e-04 3.56836403e-05 3.71478713e-05 1.06763419e-01 3.20290257e-02
1.210201 4.00497124e-04 3.63133024e-04 3.73641001e-05 3.89026686e-05 1.07130627e-01 3.21391882e-02
1.214269 4.13733568e-04 3.74946611e-04 3.87869577e-05 4.03897410e-05 1.07721313e-01 3.23163938e-02
1.218338 4.22992673e-04 3.83113218e-04 3.98794555e-05 4.15332060e-05 1.08409744e-01 3.25229233e-02
1.222407 4.28162791e-04 3.87684350e-04 4.04784410e-05 4.21629800e-05 1.08755950e-01 3.26267851e-02
1.226476 4.30114145e-04 3.88623203e-04 4.14909416e-05 4.32237556e-05 1.11222787e-01 3.33668360e-02
1.230544 4.28377726e-04 3.86873928e-04 4.15037976e-05 4.32433308e-05 1.11776286e-01 3.35328858e-02
1.234613 4.24146645e-04 3.82739259e-04 4.14073860e-05 4.31490878e-05 1.12737554e-01 3.38212661e-02
1.238682 4.18345124e-04 3.76714851e-04 4.16302735e-05 4.33876353e-05 1.15173679e-01 3.45521037e-02
1.242751 4.11180166e-04 3.69673477e-04 4.15066886e-05 4.32651415e-05 1.17036098e-01 3.51108295e-02
1.246819 4.03350263e-04 3.62005741e-04 4.13445228e-05 4.31024310e-05 1.19065601e-01 3.57196802e-02
1.250888 3.95309482e-04 3.54130225e-04 4.11792573e-05 4.29364811e-05 1.21244893e-01 3.63734678e-02
1.254957 3.87564401e-04 3.46508659e-04 4.10557418e-05 4.28140607e-05 1.23558415e-01 3.70675245e-02
1.259026 3.80239379e-04 3.39256935e-04 4.09824446e-05 4.27440212e-05 1.25993066e-01 3.77979197e-02
1.263095 3.73647441e-04 3.32663600e-04 4.09838416e-05 4.27519181e-05 1.28513965e-01 3.85541894e-02
1.267163 3.67901272e-04 3.26828254e-04 4.10730175e-05 4.28514382e-05 1.31113016e-01 3.93339048e-02
1.271232 3.63070821e-04 3.21809141e-04 4.12616801e-05 4.30548401e-05 1.33789985e-01 4.01369955e-02
1.275301 3.59266999e-04 3.17703519e-04 4.15634808e-05 4.33764191e-05 1.36531126e-01 4.09593378e-02
1.279370 3.56463919e-04 3.14490083e-04 4.19738365e-05 4.38114472e-05 1.39309471e-01 4.17928414e-02
1.283438 3.54698472e-04 3.12203130e-04 4.24953420e-05 4.43626872e-05 1.42095587e-01 4.26286762e-02
1.287507 3.53954166e-04 3.10825638e-04 4.31285285e-05 4.50307500e-05 1.44874632e-01 4.34623896e-02
1.291576 3.54211123e-04 3.10336638e-04 4.38744850e-05 4.58168298e-05 1.47635903e-01 4.42907709e-02
1.295645 3.55455095e-04 3.10721635e-04 4.47334599e-05 4.67212447e-05 1.50363668e-01 4.51091003e-02
1.299713 3.57655722e-04 3.11956236e-04 4.56994862e-05 4.77378205e-05 1.53027300e-01 4.59081901e-02
1.303782 3.60790307e-04 3.14021964e-04 4.67683428e-05 4.88622045e-05 1.55601232e-01 4.66803696e-02
1.307851 3.64829018e-04 3.16890024e-04 4.79389940e-05 5.00933700e-05 1.58078091e-01 4.74234273e-02
1.311920 3.69744423e-04 3.20533078e-04 4.92113453e-05 5.14312741e-05 1.60455434e-01 4.81366301e-02
1.315989 3.75504587e-04 3.24922198e-04 5.05823895e-05 5.28728300e-05 1.62724586e-01 4.88173757e-02
1.320057 3.82067044e-04 3.30023746e-04 5.20432977e-05 5.44088632e-05 1.64863480e-01 4.94590439e-02
1.324126 3.89400816e-04 3.35811559e-04 5.35892568e-05 5.60343927e-05 1.66862608e-01 5.00587825e-02
1.328195 3.97435095e-04 3.42228757e-04 5.52063375e-05 5.77349013e-05 1.68702659e-01 5.06107977e-02
1.332264 4.06112314e-04 3.49228646e-04 5.68836679e-05 5.94990604e-05 1.70372795e-01 5.11118384e-02
1.336332 4.15354245e-04 3.56748830e-04 5.86054151e-05 6.13103445e-05 1.71858572e-01 5.15575717e-02
1.340401 4.25050240e-04 3.64702730e-04 6.03475096e-05 6.31435987e-05 1.73137170e-01 5.19411511e-02
1.344470 4.35110527e-04 3.73020456e-04 6.20900711e-05 6.49780356e-05 1.74194296e-01 5.22582887e-02
