# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.267163 1.44554531e-05 1.35337894e-05 9.21663717e-07 1.04346443e-06 7.71006848e-02 2.31302055e-02
1.271232 1.42930809e-05 1.33583151e-05 9.34765821e-07 1.05865475e-06 7.92506197e-02 2.37751859e-02
1.275301 1.41704902e-05 1.32199327e-05 9.50557558e-07 1.07690435e-06 8.14606530e-02 2.44381959e-02
1.279370 1.40870346e-05 1.31180280e-05 9.69006575e-07 1.09817978e-06 8.37153094e-02 2.51145928e-02
1.283438 1.40445490e-05 1.30543049e-05 9.90244120e-07 1.12263305e-06 8.59971526e-02 2.57991458e-02
1.287507 1.40426867e-05 1.30283313e-05 1.01435546e-06 1.15036427e-06 8.82971310e-02 2.64891393e-02
1.291576 1.40809440e-05 1.30395042e-05 1.04143985e-06 1.18148960e-06 9.06084759e-02 2.71825428e-02
1.295645 1.41590640e-05 1.30874864e-05 1.07157766e-06 1.21610394e-06 9.29211240e-02 2.78763372e-02
1.299713 1.42762178e-05 1.31715183e-05 1.10469950e-06 1.25413237e-06 9.52154753e-02 2.85646426e-02
1.303782 1.44318562e-05 1.32910825e-05 1.14077362e-06 1.29554264e-06 9.74745766e-02 2.92423730e-02
1.307851 1.46250611e-05 1.34452179e-05 1.17984321e-06 1.34038764e-06 9.96925188e-02 2.99077557e-02
1.311920 1.48549891e-05 1.36330149e-05 1.22197416e-06 1.38874613e-06 1.01866399e-01 3.05599196e-02
1.315989 1.51206461e-05 1.38534866e-05 1.26715948e-06 1.44061425e-06 1.03989291e-01 3.11967873e-02
1.320057 1.54206770e-05 1.41054343e-05 1.31524265e-06 1.49581801e-06 1.06045512e-01 3.18136536e-02
1.324126 1.57541290e-05 1.43879672e-05 1.36616183e-06 1.55429102e-06 1.08027145e-01 3.24081435e-02
1.328195 1.61184825e-05 1.46988658e-05 1.41961669e-06 1.61569534e-06 1.09919729e-01 3.29759187e-02
1.332264 1.65117005e-05 1.50363266e-05 1.47537391e-06 1.67976890e-06 1.11714047e-01 3.35142141e-02
1.336332 1.69309112e-05 1.53978504e-05 1.53306080e-06 1.74609052e-06 1.13398330e-01 3.40194990e-02
1.340401 1.73719398e-05 1.57798665e-05 1.59207328e-06 1.81397482e-06 1.14955017e-01 3.44865050e-02
1.344470 1.78313897e-05 1.61794925e-05 1.65189725e-06 1.88283795e-06 1.16371880e-01 3.49115639e-02
1.348539 1.83039744e-05 1.65920808e-05 1.71189366e-06 1.95195276e-06 1.17643639e-01 3.52930918e-02
1.352607 1.87849944e-05 1.70135342e-05 1.77146018e-06 2.02063288e-06 1.18766205e-01 3.56298614e-02
1.356676 1.92688732e-05 1.74390382e-05 1.82983498e-06 2.08800894e-06 1.19731886e-01 3.59195658e-02
1.360745 1.97489910e-05 1.78629393e-05 1.88605169e-06 2.15297669e-06 1.20527571e-01 3.61582714e-02
1.364814 2.02189390e-05 1.82797979e-05 1.93914101e-06 2.21442690e-06 1.21140666e-01 3.63421999e-02
1.368883 2.06733351e-05 1.86847674e-05 1.98856769e-06 2.27174443e-06 1.21582698e-01 3.64748094e-02
1.372951 2.11057868e-05 1.90722121e-05 2.03357466e-06 2.32405964e-06 1.21855799e-01 3.65567397e-02
1.377020 2.15123842e-05 1.94387675e-05 2.07361671e-06 2.37074372e-06 1.21959570e-01 3.65878710e-02
1.381089 2.18899297e-05 1.97817598e-05 2.10816993e-06 2.41119119e-06 1.21889620e-01 3.65668860e-02
1.385158 2.22343277e-05 2.00977066e-05 2.13662103e-06 2.44469324e-06 1.21640408e-01 3.64921225e-02
1.389226 2.25492950e-05 2.03898488e-05 2.15944618e-06 2.47178695e-06 1.21226350e-01 3.63679050e-02
1.393295 2.28349209e-05 2.06582617e-05 2.17665923e-06 2.49248075e-06 1.20652976e-01 3.61958928e-02
1.397364 2.30965184e-05 2.09077028e-05 2.18881554e-06 2.50740335e-06 1.19927252e-01 3.59781757e-02
1.401433 2.33409160e-05 2.11442358e-05 2.19668021e-06 2.51742474e-06 1.19059623e-01 3.57178868e-02
1.405501 2.35741571e-05 2.13732446e-05 2.20091250e-06 2.52329490e-06 1.18058579e-01 3.54175738e-02
